SITE,SITECODE,TREAT,LAT,LONG,SLOPE,ASPECT_RAW,ELEV
DALTON,32_2,2,65.6884,-149.1244,6.7414899,269.1610107,362.2969971
DALTON,39_2,2,65.70004,-149.11685,4.0569301,25.8673992,313.4150085
DALTON,56_2,2,65.69936,-149.1514,4.3580298,221.6459961,279.446991
DALTON,57_2,2,65.69627,-149.15442,3.48876,185.8280029,260.6889954
DALTON,47_2,2,65.69946,-149.15793,5.2288299,203.7660065,266.3460083
DALTON,37_3,3,65.68577,-149.19524,10.3354998,158.7089996,287.2839966
DALTON,15_3,3,65.6936,-149.19728,11.0676003,311.6319885,316.0270081
DALTON,55_3,3,65.69235,-149.19681,10.9991999,268.0150146,333.5549927
DALTON,54_3,3,65.69318,-149.19493,8.7726297,315.6390076,336.9719849
DALTON,14_3,3,65.68749,-149.19668,7.5756898,176.397995,310.9630127
DALTON,7_3,3,65.68674,-149.19289,9.26019,132.677002,292.8930054
DALTON,12_1,1,65.7068,-149.18559,6.7337098,333.6419983,261.8880005
DALTON,64_1,1,65.70761,-149.19055,7.25036,18.2584991,251.2550049
DALTON,65_1,1,65.70811,-149.19125,6.3059802,358.2080078,245.8760071
DALTON,52_1,1,65.69073,-149.1245,5.24822,311.7770081,347.9249878
DALTON,11_0,0,65.71918,-149.22691,3.8304601,210.697998,279.3359985
DALTON,58_0,0,65.71309,-149.2278,4.3920202,262.2200012,262.8670044
DALTON,10_0,0,65.71578,-149.22574,4.3130798,122.1900024,267.9599915
DALTON,41_1,1,65.70615,-149.22386,13.2546997,11.4744997,248.1640015
DALTON,48_1,1,65.70551,-149.22821,3.33901,144.6759949,257.7170105
DALTON,44_0,0,65.71369,-149.23332,5.85179,151.4309998,252.1470032
DALTON,16_2,2,65.70504,-149.15279,4.1869702,279.5169983,322.3699951
DALTON,8_2,2,65.70418,-149.14612,5.25912,202.5769958,336.2000122
DALTON,40_2,2,65.69016,-149.12027,5.6810298,30.8488007,351.7460022
DALTON,42_1,1,65.69112,-149.11751,7.1159101,56.4902,327.4930115
DALTON,50_1,1,65.70692,-149.18695,5.6178198,329.7919922,257.9140015
STEESE,34_2,2,65.58088,-145.03844,0.618209,162.3209991,427.9970093
STEESE,22_3,3,65.59493,-145.01591,0.650052,117.7919998,428.9719849
STEESE,17_3,3,65.59335,-145.00465,0.941261,105.9840012,422.8439941
STEESE,25_3,3,65.59358,-144.99825,0.472047,121.6279984,420.4249878
STEESE,35_3,3,65.59224,-144.99461,1.14961,102.7590027,418.0899963
STEESE,24_3,3,65.58874,-144.99597,0.803482,71.876503,417.1700134
STEESE,26_2,2,65.58922,-144.95374,0.660417,36.3540993,397.9169922
STEESE,33_1,1,65.58279,-144.99422,2.1331899,131.6660004,408.3590088
STEESE,29_1,1,65.58229,-145.0013,1.31306,106.7470016,411.6220093
STEESE,23_3,3,65.59009,-145.00854,0.504181,108.2969971,421.7950134
STEESE,36_1,1,65.56454,-144.92126,2.49541,58.3437004,367.7340088
STEESE,20_1,1,65.5648,-144.92697,1.26079,45.5505981,371.9349976
STEESE,27_2,2,65.58768,-144.97264,1.46521,96.3998032,404.8529968
STEESE,4_2,2,65.58785,-144.97032,0.853737,77.2068024,403.696991
STEESE,3_2,2,65.58942,-144.9704,0.517824,60.4464989,404.8940125
STEESE,19_2,2,65.58894,-144.97484,0.339272,189.8070068,406.8299866
STEESE,28_1,1,65.58453,-144.97688,1.64726,124.8460007,404.0740051
STEESE,18_1,1,65.58321,-145.00757,1.22018,86.7618027,415.95401
STEESE,5_1,1,65.5869,-144.98392,1.47034,115.8499985,409.2749939
STEESE,2_3,3,65.5891,-145.00218,1.27923,109.0019989,419.6220093
STEESE,1_0,0,65.5631,-145.02356,2.58249,42.5637016,442.0629883
STEESE,31_0,0,65.5649,-144.96962,1.41787,24.7474003,393.6340027
STEESE,9_0,0,65.56702,-144.9287,1.91345,15.9607,369.2820129
STEESE,6_0,0,65.56738,-144.92766,2.1138599,5.0445299,367.2260132
