Date,Sample,Sample_type,Sample_weight_mg,N_retention_time_min,N_response,N_weight_mg,N_weight%,N_peak_type,N_element,N_C_Response,C_rentention_time_min,C_response,C_weight_mg,C_weight_per,C_peak_type,C_element,C_C_response_ratio,
1/31/20,Calib\00000004,standard,1.422,1.796,55.682,0.057,4,Refer,Nitrogen,0.028,2.959,1977.356,0.995,70,Refer,Carbon,1,
1/31/20,bypass,bypass,0,1.908,17.292,0.001,0.5,Refer,Nitrogen,0.057,3.168,301.501,0.143,99.5,Refer,Carbon,1,
1/31/20,Calib\blank,blank,0,1.917,16.716,N/A,N/A,Error,Nitrogen,3.888,3.195,4.3,N/A,N/A,Error,Carbon,1,
1/31/20,Calib\blank cell,blank cell,0,1.912,16.155,N/A,N/A,Error,Nitrogen,???,,,,,,,,
1/31/20,Calib\standard,standard,0.525,1.841,34.987,0.027,5.07,Refer,Nitrogen,0.046,3.085,758.133,0.375,71.51,Refer,Carbon,1,
1/31/20,1,unknown,29.033,1.876,17.737,0.001,0,Refer,Nitrogen,0.048,3.168,370.851,0.178,0.61,Refer,Carbon,1,
1/31/20,2,unknown,18.926,1.871,20.415,0.005,0.03,Refer,Nitrogen,0.046,3.153,440.24,0.214,1.13,Refer,Carbon,1,
1/31/20,3,unknown,25.864,1.875,16.393,N/A,N/A,Error,Nitrogen,0.038,3.137,433.556,0.21,0.81,Refer,Carbon,1,
1/31/20,4,unknown,28.209,1.859,30.486,0.02,0.07,Refer,Nitrogen,0.032,3.123,959.15,0.478,1.69,Refer,Carbon,1,
1/31/20,5,unknown,28.652,1.852,62.826,0.067,0.23,Refer,Nitrogen,0.019,2.975,3375.16,1.706,5.95,Refer,Carbon,1,
1/31/20,6,unknown,20.87,1.853,24.823,0.012,0.06,Refer,Nitrogen,0.025,3.104,999.606,0.498,2.39,Refer,Carbon,1,
1/31/20,7,unknown,19.843,1.84,20.652,0.006,0.03,Refer,Nitrogen,0.036,3.133,580.882,0.285,1.44,Refer,Carbon,1,
1/31/20,8,unknown,20.742,1.836,49.622,0.048,0.23,Refer,Nitrogen,0.02,2.988,2482.414,1.252,6.04,Refer,Carbon,1,
1/31/20,9,unknown,17.674,1.823,71.596,0.08,0.45,Refer,Nitrogen,0.021,2.917,3368.312,1.703,9.63,Refer,Carbon,1,
1/31/20,10,unknown,22.228,1.848,18.237,0.002,0.01,Refer,Nitrogen,0.037,3.133,486.654,0.237,1.07,Refer,Carbon,1,
1/31/20,10,unknown,29.353,1.851,20.21,0.005,0.02,Refer,Nitrogen,0.038,3.141,532.039,0.26,0.89,Refer,Carbon,1,
1/31/20,11,unknown,24.855,1.852,15.88,N/A,N/A,Error,Nitrogen,0.025,3.133,645.461,0.318,1.28,Refer,Carbon,1,
1/31/20,12,unknown,18.616,1.856,15.058,N/A,N/A,Error,Nitrogen,0.033,3.135,462.999,0.225,1.21,Refer,Carbon,1,
1/31/20,13,unknown,23.684,1.84,15.705,N/A,N/A,Error,Nitrogen,0.021,3.093,750.637,0.372,1.57,Refer,Carbon,1,
1/31/20,14,unknown,20.573,1.859,21.895,0.007,0.04,Refer,Nitrogen,0.029,3.137,766.599,0.38,1.85,Refer,Carbon,1,
1/31/20,15,unknown,28.786,1.86,10.245,N/A,N/A,Error,Nitrogen,0.026,3.144,390.148,0.188,0.65,Refer,Carbon,1,
