Date,,,Sample,Sample ID,Sample Weight [mg],Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,,,,,
,,,,,,Reten. Time [min],Start Time [min],End Time [min],Apex Value [mV],Start Value [mV],End Value [mV],Area [mV.s],Height [mV],Area [%],Height [%],W05 [min],Response,RB,Weight [mg],Weight [%],Peak Type,Element Name,Reten. Index [-],Carbon Response Ratio,Carbon Weight Ratio,Centroid [min],Variance [min2],Skew [-],Excess [-],Asymmetry [-],Capacity [-],Efficiency [th.pl],Eff/l [t.p./m],Resolution [-],Symmetry/Tailing [-],Calculated by,Response Factor,Correction Factor,Reten. Time [min],Start Time [min],End Time [min],Apex Value [mV],Start Value [mV],End Value [mV],Area [mV.s],Height [mV],Area [%],Height [%],W05 [min],Response,RB,Weight [mg],Weight [%],Peak Type,Element Name,Reten. Index [-],Carbon Response Ratio,Carbon Weight Ratio,Centroid [min],Variance [min2],Skew [-],Excess [-],Asymmetry [-],Capacity [-],Efficiency [th.pl],Eff/l [t.p./m],Resolution [-],Symmetry/Tailing [-],Calculated by,Response Factor,Correction Factor,,,,,
1/31/20,Calib\00000004,Colibrick - 1,standard,,1.422,1.796,1.472,2.623,3.717,0.398,0.412,55.682,3.315,2.7,3.2,0.25,55.682,A,0.057,4,Refer,Nitrogen,0,0.028,17.504,1.835,0.0169,0.985,2.333,1.558,0,281,5628,,1.357,,0.001,1,2.959,2.675,4.12,101.658,0.412,0.447,1977.356,101.239,97.3,96.8,0.31,1977.356,A,0.995,70,Refer,Carbon,0,1,1,3.082,0.0152,1.837,5.359,5.625,0,507,10136,2.444,3.288,,0.001,1,,,,,
1/31/20,bypass,Colibrick - 1,bypass,,0,1.908,1.568,2.743,1.177,0.425,0.431,17.292,0.751,5.4,4.6,0.34,17.292,A,0.001,0.5,Refer,Nitrogen,0,0.057,197.144,1.987,0.0382,1.339,3.513,1.918,0,176,3517,,1.661,,0,1,3.168,2.743,4.508,16,0.431,0.441,301.501,15.567,94.6,95.4,0.3,301.501,A,0.143,99.5,Refer,Carbon,0,1,1,3.213,0.021,1.025,2.46,1.59,0,623,12466,2.333,1.33,,0,1,,,,,
1/31/20,Calib\blank,Colibrick - 1,blank,,0,1.917,1.556,2.599,1.149,0.405,0.439,16.716,0.733,79.5,77.2,0.35,16.716,A,N/A,N/A,Error,Nitrogen,0,3.888,???,1.985,0.0344,1.22,3.103,1.774,0,168,3363,,1.483,,,1,3.195,2.892,3.665,0.636,0.425,0.411,4.3,0.216,20.5,22.8,0.31,4.3,A,N/A,N/A,Error,Carbon,0,1,???,3.229,0.0215,0.751,1.626,1.393,0,576,11518,2.279,1.23,,,1,,,,,
1/31/20,Calib\blank cell,Colibrick - 1,blank cell,,0,1.912,1.565,2.605,1.114,0.385,0.411,16.155,0.72,100,100,0.34,16.155,A,N/A,N/A,Error,Nitrogen,0,???,???,1.979,0.0329,1.229,3.135,1.785,0,171,3423,,1.463,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/20,Calib\standard,Colibrick - 1,standard,,0.525,1.841,1.501,2.729,1.99,0.375,0.393,34.987,1.611,4.4,3.8,0.32,34.987,A,0.027,5.07,Refer,Nitrogen,0,0.046,14.112,1.914,0.0328,1.334,3.496,1.911,0,179,3579,,1.578,,0.001,1,3.085,2.729,3.964,40.936,0.393,0.411,758.133,40.538,95.6,96.2,0.29,758.133,A,0.375,71.51,Refer,Carbon,0,1,1,3.158,0.0242,1.514,4.141,2.206,0,619,12370,2.383,1.611,,0,1,,,,,
1/31/20,1,Colibrick - 1,unknown,,29.033,1.876,1.556,2.745,1.154,0.33,0.36,17.737,0.816,4.6,4.1,0.32,17.737,A,0.001,0,Refer,Nitrogen,0,0.048,129.612,1.95,0.0334,1.347,3.542,1.929,0,186,3715,,1.604,,0,1,3.168,2.747,4.451,19.267,0.36,0.405,370.851,18.897,95.4,95.9,0.3,370.851,A,0.178,0.61,Refer,Carbon,0,1,1,3.218,0.0223,1.112,2.744,1.667,0,612,12247,2.438,1.369,,0,1,,,,,
1/31/20,2,Colibrick - 1,unknown,,18.926,1.871,1.548,2.717,1.332,0.371,0.376,20.415,0.96,4.4,4.2,0.32,20.415,A,0.005,0.03,Refer,Nitrogen,0,0.046,40.38,1.934,0.0297,1.229,3.136,1.785,0,194,3883,,1.526,,0,1,3.153,2.717,4.804,22.47,0.376,0.417,440.24,22.085,95.6,95.8,0.31,440.24,A,0.214,1.13,Refer,Carbon,0,1,1,3.208,0.0234,1.18,2.969,1.732,0,591,11818,2.436,1.402,,0,1,,,,,
1/31/20,3,Colibrick - 1,unknown,,25.864,1.875,1.54,2.639,1.156,0.379,0.393,16.393,0.773,3.6,3.4,0.32,16.393,A,N/A,N/A,Error,Nitrogen,0,0.038,???,1.939,0.0299,1.244,3.186,1.801,0,190,3803,,1.519,,,1,3.137,2.708,4.704,22.361,0.393,0.423,433.556,21.962,96.4,96.6,0.3,433.556,A,0.21,0.81,Refer,Carbon,0,1,1,3.193,0.0235,1.218,3.098,1.773,0,601,12011,2.398,1.428,,0,1,,,,,
1/31/20,4,Colibrick - 1,unknown,,28.209,1.859,1.531,2.709,1.919,0.379,0.4,30.486,1.534,3.1,3.1,0.3,30.486,A,0.02,0.07,Refer,Nitrogen,0,0.032,23.857,1.914,0.025,1.161,2.906,1.713,0,216,4330,,1.478,,0.001,1,3.123,2.761,4.472,47.687,0.403,0.609,959.15,47.24,96.9,96.9,0.31,959.15,A,0.478,1.69,Refer,Carbon,0,1,1,3.21,0.0299,1.595,4.439,2.395,0,550,11005,2.442,1.724,,0,1,,,,,
