"","X","PLT_CN","LarLar_biomass","PicGla_biomass","PicMar_biomass","BetNeo_biomass","PopBal_biomass","PopTre_biomass","PopBalTri_biomass","betula_sh_biomass","salix_sh_biomass","alnus_sh_biomass","sphagnum_biomass","turfmoss_biomass","feathermoss_biomass","STDAGE"
"1",1,249447497489998,NA,NA,936.555031079853,NA,NA,NA,NA,510.94793981615,977.634290593582,1642.50976276485,231.631943194646,73.9207315804,1130.46567502213,131
"2",1,249447497489998,NA,NA,936.555031079853,NA,NA,NA,NA,510.94793981615,977.634290593582,1642.50976276485,231.631943194646,73.9207315804,1130.46567502213,NA
"3",2,249447498489998,NA,1523.66494422309,920.623133712241,3296.22919845342,NA,NA,NA,NA,NA,307.695572491034,0,199.329274270514,872.534015192021,134
"4",3,249447499489998,NA,1145.01324158126,NA,11954.3941122518,NA,NA,NA,NA,NA,1064.58910794481,NA,NA,NA,84
"5",4,249447500489998,7.37064775428839,NA,1659.00568965111,NA,NA,NA,NA,NA,1757.97916389536,NA,3947.32091275937,468.6472741302,2097.71330738253,158
"6",5,249447502489998,NA,1062.7730644332,NA,1788.48417682034,NA,NA,NA,761.853958717245,NA,141.229082939154,0,212.2199855071,163.770645997876,32
"7",6,249447503489998,NA,1356.58053382,NA,NA,2122.0112890107,NA,NA,NA,NA,1861.20463433936,NA,NA,NA,41
"8",7,249447504489998,238.048875669766,30.9171609371713,3222.80275665213,NA,NA,NA,NA,139.871844812627,547.521974253533,NA,296.468424547771,31.54107763816,1969.05320784971,115
"9",8,249447505489998,NA,NA,1274.29929233357,4241.49059360187,NA,NA,NA,NA,NA,124.225680564336,0,351.51522087168,366.696701123592,40
"10",9,249447506489998,NA,NA,1522.511731895,50.8665706311359,NA,NA,NA,83.0593089091718,547.521974253533,NA,2933.22826666667,49.0774240317,2583.79442962963,80
"11",10,249447507489998,NA,NA,1850.02424249255,NA,NA,NA,NA,761.853958717245,2616.31779795784,NA,2404.0376,37.5472376995429,809.565640814548,171
"12",11,249447508489998,NA,NA,2207.04120565449,NA,NA,NA,NA,475.638038339843,NA,NA,2756.07564562662,229.91952976632,2244.47091658858,112
"13",12,249447509489998,NA,6352.39117083331,142.058250605621,4538.68302266424,NA,357.524883831212,NA,NA,NA,NA,NA,NA,NA,66
"14",13,249447510489998,NA,4463.56497750689,NA,2725.88525009909,NA,425.897368884739,NA,NA,7012.17394341607,1266.7877730171,NA,NA,NA,138
"15",14,249447511489998,NA,152.251014125871,NA,12927.3077042272,NA,NA,NA,NA,NA,85.1905050807088,0,70.5498701922667,336.688696967013,71
"16",15,249447512489998,NA,NA,3037.43681012462,3677.0068920635,NA,NA,NA,NA,NA,491.303349925934,0,106.395906775886,680.85109248444,144
"17",16,249447513489998,NA,NA,72.6172341223036,NA,NA,NA,NA,1123.42028339967,83.8813756045673,364.508622844678,3101.31222811971,84.795170682368,1651.41631327814,NA
"18",16,249447513489998,NA,NA,72.6172341223036,NA,NA,NA,NA,1123.42028339967,83.8813756045673,364.508622844678,3101.31222811971,84.795170682368,1651.41631327814,90
