Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Fairbanks
Station ID: USW00026411
Downloaded: Wed May 11 2022 15:30:16 GMT-0600 (Mountain Daylight Time)

"Date","Mean Temperature (degF)"
"2019-01-01","22"
"2019-01-02","17"
"2019-01-03","-5"
"2019-01-04","-25.5"
"2019-01-05","-30.5"
"2019-01-06","-34"
"2019-01-07","-35"
"2019-01-08","-21"
"2019-01-09","-10"
"2019-01-10","-24.5"
"2019-01-11","-34.5"
"2019-01-12","-28"
"2019-01-13","-7.5"
"2019-01-14","-4.5"
"2019-01-15","-12"
"2019-01-16","-10"
"2019-01-17","-10.5"
"2019-01-18","-11"
"2019-01-19","-3.5"
"2019-01-20","-7"
"2019-01-21","-14"
"2019-01-22","-8.5"
"2019-01-23","4.5"
"2019-01-24","7.5"
"2019-01-25","20"
"2019-01-26","13"
"2019-01-27","9"
"2019-01-28","19.5"
"2019-01-29","15.5"
"2019-01-30","4"
"2019-01-31","-8.5"
"2019-02-01","-10"
"2019-02-02","-14"
"2019-02-03","6"
"2019-02-04","12.5"
"2019-02-05","13.5"
"2019-02-06","8"
"2019-02-07","10"
"2019-02-08","16.5"
"2019-02-09","10.5"
"2019-02-10","10"
"2019-02-11","18"
"2019-02-12","25.5"
"2019-02-13","11.5"
"2019-02-14","-4.5"
"2019-02-15","-13"
"2019-02-16","-5.5"
"2019-02-17","11"
"2019-02-18","11"
"2019-02-19","6"
"2019-02-20","-0.5"
"2019-02-21","-1.5"
"2019-02-22","-5.5"
"2019-02-23","5"
"2019-02-24","6.5"
"2019-02-25","10"
"2019-02-26","6"
"2019-02-27","4"
"2019-02-28","6"
"2019-03-01","8"
"2019-03-02","6"
"2019-03-03","13.5"
"2019-03-04","11.5"
"2019-03-05","9"
"2019-03-06","18.5"
"2019-03-07","23.5"
"2019-03-08","26.5"
"2019-03-09","28.5"
"2019-03-10","29.5"
"2019-03-11","23.5"
"2019-03-12","22"
"2019-03-13","23"
"2019-03-14","24.5"
"2019-03-15","24.5"
"2019-03-16","33.5"
"2019-03-17","37"
"2019-03-18","38"
"2019-03-19","26"
"2019-03-20","25.5"
"2019-03-21","37"
"2019-03-22","40"
"2019-03-23","40"
"2019-03-24","38"
"2019-03-25","38"
"2019-03-26","39.5"
"2019-03-27","34"
"2019-03-28","35"
"2019-03-29","33"
"2019-03-30","32"
"2019-03-31","38"
"2019-04-01","37"
"2019-04-02","32"
"2019-04-03","21"
"2019-04-04","21.5"
"2019-04-05","29"
"2019-04-06","32"
"2019-04-07","40.5"
"2019-04-08","40"
"2019-04-09","41"
"2019-04-10","40"
"2019-04-11","40.5"
"2019-04-12","42"
"2019-04-13","41.5"
"2019-04-14","41"
"2019-04-15","39"
"2019-04-16","38.5"
"2019-04-17","29.5"
"2019-04-18","29"
"2019-04-19","31.5"
"2019-04-20","33"
"2019-04-21","41"
"2019-04-22","44.5"
"2019-04-23","31.5"
"2019-04-24","36.5"
"2019-04-25","38"
"2019-04-26","40"
"2019-04-27","38.5"
"2019-04-28","42"
"2019-04-29","46.5"
"2019-04-30","51"
"2019-05-01","52.5"
"2019-05-02","47.5"
"2019-05-03","39.5"
"2019-05-04","41.5"
"2019-05-05","39.5"
"2019-05-06","40.5"
"2019-05-07","49"
"2019-05-08","49.5"
"2019-05-09","51"
"2019-05-10","56"
