Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Circle Hot Springs
Station ID: USC00501987
Downloaded: Wed May 11 2022 15:30:29 GMT-0600 (Mountain Daylight Time)

"Date","Mean Temperature (degF)"
"2019-01-01","19.5"
"2019-01-02","14"
"2019-01-03","-6.5"
"2019-01-04","-8.5"
"2019-01-05","-30"
"2019-01-06","-36.5"
"2019-01-07","-40.5"
"2019-01-08","-40.5"
"2019-01-09","-32"
"2019-01-10","-27"
"2019-01-11","-31.5"
"2019-01-12","-35.5"
"2019-01-13","-37"
"2019-01-14","-24.5"
"2019-01-15","-19.5"
"2019-01-16","-13"
"2019-01-17","-9"
"2019-01-18","-6"
"2019-01-19","-11.5"
"2019-01-20","-12.5"
"2019-01-21","-16"
"2019-01-22","-20.5"
"2019-01-23","-24.5"
"2019-01-24","-10.5"
"2019-01-25","-4.5"
"2019-01-26","17"
"2019-01-27","5.5"
"2019-01-28","7.5"
"2019-01-29","14.5"
"2019-01-30","11"
"2019-01-31","-5.5"
"2019-02-01","-23"
"2019-02-02","-31"
"2019-02-03","-24"
"2019-02-04","-5.5"
"2019-02-05","5"
"2019-02-06","-7"
"2019-02-07","-1"
"2019-02-08","4"
"2019-02-09","22"
"2019-02-10","5"
"2019-02-11","10.5"
"2019-02-12","20"
"2019-02-13","22.5"
"2019-02-14","6.5"
"2019-02-15","2"
"2019-02-16","-13"
"2019-02-17","-16.5"
"2019-02-18","-1.5"
"2019-02-19","11.5"
"2019-02-20","5"
"2019-02-21","-5.5"
"2019-02-22","-12"
"2019-02-23","-12"
"2019-02-24","-1"
"2019-02-25","3.5"
"2019-02-26","5.5"
"2019-02-27","4"
"2019-02-28","3"
"2019-03-01","1"
"2019-03-02","0.5"
"2019-03-03","1.5"
"2019-03-04","9"
"2019-03-05","1.5"
"2019-03-06","6.5"
"2019-03-07","14"
"2019-03-08","15"
"2019-03-09","15.5"
"2019-03-10","20"
"2019-03-11","25"
"2019-03-12","21"
"2019-03-13","12"
"2019-03-14","6.5"
"2019-03-15","5"
"2019-03-16","13"
"2019-03-17","26"
"2019-03-18","34.5"
"2019-03-19","30.5"
"2019-03-20","23.5"
"2019-03-21","18"
"2019-03-22","21.5"
"2019-03-23","13.5"
"2019-03-24","17.5"
"2019-03-25","36.5"
"2019-03-26","36.5"
"2019-03-27","31.5"
"2019-03-28","30.5"
"2019-03-29","30.5"
"2019-03-30","26"
"2019-03-31","31"
"2019-04-01","36.5"
"2019-04-02","34.5"
"2019-04-03","13"
"2019-04-04","10"
"2019-04-05","11.5"
"2019-04-06","17"
"2019-04-07","13"
"2019-04-08","20.5"
"2019-04-09","26"
"2019-04-10","23.5"
"2019-04-11","24"
"2019-04-12","32.5"
"2019-04-13","32"
"2019-04-14","33"
"2019-04-15","32.5"
"2019-04-16","28"
"2019-04-17","36"
"2019-04-18","33"
"2019-04-19","29"
"2019-04-20","26.5"
"2019-04-21","33"
"2019-04-22","38.5"
"2019-04-23","36.5"
"2019-04-24","25.5"
"2019-04-25","25"
"2019-04-26","27.5"
"2019-04-27","28"
"2019-04-28","33.5"
"2019-04-29","36"
"2019-04-30","42"
"2019-05-01","44"
"2019-05-02","43"
"2019-05-03","36"
"2019-05-04","28"
"2019-05-05","31"
"2019-05-06","33.5"
"2019-05-07","31.5"
"2019-05-08","38.5"
"2019-05-09","41.5"
"2019-05-10","46.5"
"2019-05-11","45.5"
"2019-05-12","44.5"
"2019-05-13","42"
"2019-05-14","46.5"
"2019-05-15","49.5"
"2019-05-16","48"
"2019-05-17","49"
"2019-05-18","45.5"
"2019-05-19","49.5"
"2019-05-20","49"
"2019-05-21","52"
"2019-05-22","52"
"2019-05-23","55.5"
"2019-05-24","63"
"2019-05-25","55.5"
"2019-05-26","60.5"
"2019-05-27","62"
"2019-05-28","56"
"2019-05-29","48.5"
"2019-05-30","45.5"
"2019-05-31","56.5"
"2019-06-01","55"
