SITE,SITECODE,TREAT,SPP,,DBH_INCH,DBH_CM,CANOPY,HEIGHT_FT,HEIGHT_IN,B_TYPE,MAX_B_WIDTH,,STEM_TYPE,CLUMP_TYPE,BROW_INDEX
DALTON,32_2,2,SALIX,,0.75,,60,2.99,,H,0.28,,CLUMP,START,0.83
DALTON,32_2,2,SALIX,,0.56,,50,8,,H,0.22,,CLUMP,,
DALTON,32_2,2,SALIX,,0.31,,0,5.83,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.88,,45,4,,H,0.22,,CLUMP,,
DALTON,32_2,2,SALIX,,0.5,,0,3.5,,H,0.22,,CLUMP,,
DALTON,32_2,2,SALIX,,0.75,,0,3,,H,0.25,,CLUMP,END,
DALTON,32_2,2,PIME,,0.75,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,2,,H,0.5,,IND,,0
DALTON,32_2,2,SALIX,,0.53,,90,3,,H,0.19,,CLUMP,START,1
DALTON,32_2,2,SALIX,,0.38,,80,1.5,,H,0.16,,CLUMP,END,
DALTON,32_2,2,SALIX,,0.25,,15,1,,H,0.13,,CLUMP,START,1
DALTON,32_2,2,SALIX,,0.59,,10,3,,H,0.28,,CLUMP,END,
DALTON,32_2,2,PIME,,1.13,,0,6.4,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.88,,0,3,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.63,,0,3,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.5,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.5,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,1,,0,3,,N,,,IND,,0
DALTON,32_2,2,SALIX,,0.91,,80,4.5,,H,0.28,,CLUMP,START,1
DALTON,32_2,2,SALIX,,0.63,,80,3,,H,0.19,,CLUMP,,
DALTON,32_2,2,SALIX,,0.5,,0,2.5,,H,0.19,,CLUMP,,
DALTON,32_2,2,SALIX,,0.75,,90,8,,H,0.16,,CLUMP,,
DALTON,32_2,2,SALIX,,0.25,,95,6,,H,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.44,,0,6,,H,0.13,,CLUMP,END,
DALTON,32_2,2,PIME,,0.34,,100,1,,N,,,IND,,0
DALTON,32_2,2,SALIX,,0.75,,90,3,,H,0.22,,CLUMP,START,0.8
DALTON,32_2,2,SALIX,,0.44,,0,3,,H,0.19,,CLUMP,,
DALTON,32_2,2,SALIX,,0.28,,90,2,,H,0.13,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,100,1,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,50,0.5,,H,0.06,,CLUMP,END,
DALTON,32_2,2,SALIX,,1,,40,9,,H,0.13,,IND,,NA
DALTON,32_2,2,PIME,,0.47,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.59,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.63,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.38,,0,1,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.5,,0,2,,N,,,IND,,0
DALTON,32_2,2,PIME,,1,,0,5.5,,H,0.22,,IND,,NA
DALTON,32_2,2,PIME,,0.41,,0,5,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.28,,0,5,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,3.5,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,10,,N,,,IND,,0
DALTON,32_2,2,SALIX,,0.75,,0,3,,H,0.38,,CLUMP,START,1
DALTON,32_2,2,SALIX,,0.38,,0,1.5,,H,0.25,,CLUMP,,
DALTON,32_2,2,SALIX,,0.75,,0,9,,B,0.38,,CLUMP,,
DALTON,32_2,2,SALIX,,0.75,,0,4,,H,0.38,,CLUMP,END,
DALTON,32_2,2,BENE,,1.03,,0,3,,H,0.44,,CLUMP,START,0.5
DALTON,32_2,2,BENE,,0.84,,100,10,,N,,,CLUMP,,
DALTON,32_2,2,BENE,,0.63,,90,10,,H,0.25,,CLUMP,,
DALTON,32_2,2,BENE,,0.38,,100,8.5,,N,,,CLUMP,END,
DALTON,32_2,2,PIME,,0.84,,0,3,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,4,,N,,,IND,,0
DALTON,32_2,2,BENE,,1.06,,0,3.5,,H,0.22,,IND,,NA
DALTON,32_2,2,BENE,,1.19,,0,3,,H,0.09,,IND,,NA
DALTON,32_2,2,BENE,,0.47,,80,10,,H,0.19,,IND,,NA
DALTON,32_2,2,PIME,,0.5,,0,5.5,,N,,,IND,,0
DALTON,32_2,2,BENE,,0.34,,70,8,,H,0.16,,IND,,NA
DALTON,32_2,2,PIME,,0.38,,0,5.5,,N,,,IND,,0
DALTON,32_2,2,BENE,,0.72,,0,6,,M,0.72,,IND,,NA
DALTON,32_2,2,PIME,,1,,0,5,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,6,,N,,,IND,,0
DALTON,32_2,2,PIME,,0.75,,0,7.5,,M,0.5,,IND,,NA
DALTON,32_2,2,PIME,,0.75,,0,5.83,,M,0.5,,IND,,NA
DALTON,32_2,2,SALIX,,0.28,,70,3,,H,0.16,,CLUMP,START,1
DALTON,32_2,2,SALIX,,0.28,,50,1,,H,0.13,,CLUMP,,
DALTON,32_2,2,SALIX,,0.25,,50,2,,H,0.16,,CLUMP,END,
DALTON,32_2,2,BENE,,0.75,,90,10,,H,0.25,,CLUMP,START,1
DALTON,32_2,2,BENE,,1.63,,100,18,,H,0.13,,CLUMP,,
DALTON,32_2,2,BENE,,2,,100,16,,H,0.25,,CLUMP,,
DALTON,32_2,2,BENE,,1.25,,100,12,,H,0.38,,CLUMP,END,
DALTON,32_2,2,BENE,,0.47,,30,2,,H,0.09,,IND,,NA
DALTON,32_2,2,BENE,,1.44,,0,2.5,,N,,,CLUMP,START,0
DALTON,32_2,2,BENE,,0.84,,90,16,,N,,,CLUMP,END,
DALTON,32_2,2,BENE,,0.78,,90,17,,H,0.28,,IND,,NA
DALTON,32_2,2,BENE,,0.5,,60,3,,H,0.31,,IND,,NA
DALTON,32_2,2,BENE,,,10.5,0,3.5,,N,,,IND,,0
DALTON,32_2,2,BENE,,,10,0,8,,N,,,IND,,0
DALTON,32_2,2,SALIX,,0.56,,75,4,,H,0.19,,CLUMP,START,0.36
DALTON,32_2,2,SALIX,,0.47,,0,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.47,,0,3,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.17,,30,5,,H,0.25,,CLUMP,,
DALTON,32_2,2,SALIX,,0.43,,0,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.63,,0,4,,H,0.16,,CLUMP,,
DALTON,32_2,2,SALIX,,0.67,,5,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.67,,0,4,,H,0.16,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,5,7,,H,0.16,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,5,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,15,6,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.5,,40,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,100,2,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.47,,0,3,,H,0.22,,CLUMP,,
DALTON,32_2,2,SALIX,,0.38,,0,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,0,6,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,0,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,0,6,,B,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,0,6,,H,0.19,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,100,1,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.13,,0,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,5,6,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.41,,5,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,10,6,,H,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.13,,0,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.38,,0,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.13,,0,6,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.09,,0,5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.38,,0,3,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.38,,0,6,,H,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.66,,50,3,,H,0.13,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,0,1.5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,0,1,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.34,,40,3,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.25,,0,3,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.28,,15,4,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.59,,5,4,,H,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.16,,60,1.5,,H,0.09,,CLUMP,,
DALTON,32_2,2,SALIX,,0.88,,0,1.5,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.38,,0,3,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.19,,100,2,,N,,,CLUMP,,
DALTON,32_2,2,SALIX,,0.5,,80,4,,H,0.19,,CLUMP,END,
DALTON,32_2,2,BENE,,0.69,,0,3,,H,0.31,,CLUMP,START,0.75
DALTON,32_2,2,BENE,,0.84,,10,4.5,,H,0.19,,CLUMP,,
DALTON,32_2,2,BENE,,0.38,,0,4,,N,,,CLUMP,,
DALTON,32_2,2,BENE,,0.63,,90,12,,H,0.25,,CLUMP,END,
