"TREAT","SITE","SPP","B_TYPE","pref"
0,"DALTON","ALCR","Both",0
0,"DALTON","ALCR","Hare",0
0,"DALTON","ALCR","Moose",0
0,"DALTON","BENE","Both",0
0,"DALTON","BENE","Hare",0
0,"DALTON","BENE","Moose",0
0,"DALTON","PIME","Both",0
0,"DALTON","PIME","Hare",0.08
0,"DALTON","PIME","Moose",0
0,"DALTON","POTR","Both",0
0,"DALTON","POTR","Hare",0
0,"DALTON","POTR","Moose",0
0,"DALTON","SALIX","Both",0.06
0,"DALTON","SALIX","Hare",0.19
0,"DALTON","SALIX","Moose",0.1
0,"STEESE","ALCR","Both",0
0,"STEESE","ALCR","Hare",0
0,"STEESE","ALCR","Moose",0
0,"STEESE","BENE","Both",0
0,"STEESE","BENE","Hare",0
0,"STEESE","BENE","Moose",0
0,"STEESE","PIME","Both",0
0,"STEESE","PIME","Hare",0
0,"STEESE","PIME","Moose",0
0,"STEESE","POTR","Both",0
0,"STEESE","POTR","Hare",0
0,"STEESE","POTR","Moose",0
0,"STEESE","SALIX","Both",0
0,"STEESE","SALIX","Hare",0
0,"STEESE","SALIX","Moose",0.08
1,"DALTON","ALCR","Both",0.13
1,"DALTON","ALCR","Hare",0.33
1,"DALTON","ALCR","Moose",0.03
1,"DALTON","BENE","Both",0.05
1,"DALTON","BENE","Hare",0.45
1,"DALTON","BENE","Moose",0.03
1,"DALTON","PIME","Both",0
1,"DALTON","PIME","Hare",0.04
1,"DALTON","PIME","Moose",0
1,"DALTON","POTR","Both",0
1,"DALTON","POTR","Hare",0
1,"DALTON","POTR","Moose",0.1
1,"DALTON","SALIX","Both",0.02
1,"DALTON","SALIX","Hare",0.46
1,"DALTON","SALIX","Moose",0.03
1,"STEESE","ALCR","Both",0
1,"STEESE","ALCR","Hare",0
1,"STEESE","ALCR","Moose",0
1,"STEESE","BENE","Both",0
1,"STEESE","BENE","Hare",0.01
1,"STEESE","BENE","Moose",0
1,"STEESE","PIME","Both",0
1,"STEESE","PIME","Hare",0
1,"STEESE","PIME","Moose",0
1,"STEESE","POTR","Both",0
1,"STEESE","POTR","Hare",0.19
1,"STEESE","POTR","Moose",0.06
1,"STEESE","SALIX","Both",0
1,"STEESE","SALIX","Hare",0.05
1,"STEESE","SALIX","Moose",0.02
2,"DALTON","ALCR","Both",0.26
2,"DALTON","ALCR","Hare",0.32
2,"DALTON","ALCR","Moose",0.04
2,"DALTON","BENE","Both",0.22
2,"DALTON","BENE","Hare",0.54
2,"DALTON","BENE","Moose",0.05
2,"DALTON","PIME","Both",0
2,"DALTON","PIME","Hare",0.06
2,"DALTON","PIME","Moose",0.02
2,"DALTON","POTR","Both",0.25
2,"DALTON","POTR","Hare",0.38
2,"DALTON","POTR","Moose",0.12
2,"DALTON","SALIX","Both",0.14
2,"DALTON","SALIX","Hare",0.52
2,"DALTON","SALIX","Moose",0.04
2,"STEESE","ALCR","Both",0
2,"STEESE","ALCR","Hare",0
2,"STEESE","ALCR","Moose",0.09
2,"STEESE","BENE","Both",0
2,"STEESE","BENE","Hare",0
2,"STEESE","BENE","Moose",0.06
2,"STEESE","PIME","Both",0
2,"STEESE","PIME","Hare",0
2,"STEESE","PIME","Moose",0
2,"STEESE","POTR","Both",0
2,"STEESE","POTR","Hare",0
2,"STEESE","POTR","Moose",0.04
2,"STEESE","SALIX","Both",0
2,"STEESE","SALIX","Hare",0
2,"STEESE","SALIX","Moose",0
3,"DALTON","ALCR","Both",0.33
3,"DALTON","ALCR","Hare",0.31
3,"DALTON","ALCR","Moose",0.03
3,"DALTON","BENE","Both",0.14
3,"DALTON","BENE","Hare",0.8
3,"DALTON","BENE","Moose",0.01
3,"DALTON","PIME","Both",0
3,"DALTON","PIME","Hare",0.23
3,"DALTON","PIME","Moose",0
3,"DALTON","POTR","Both",0
3,"DALTON","POTR","Hare",1
3,"DALTON","POTR","Moose",0
3,"DALTON","SALIX","Both",0.12
3,"DALTON","SALIX","Hare",0.66
3,"DALTON","SALIX","Moose",0
3,"STEESE","ALCR","Both",0
3,"STEESE","ALCR","Hare",0
3,"STEESE","ALCR","Moose",0
3,"STEESE","BENE","Both",0
3,"STEESE","BENE","Hare",0
3,"STEESE","BENE","Moose",0.14
3,"STEESE","PIME","Both",0
3,"STEESE","PIME","Hare",0
3,"STEESE","PIME","Moose",0
3,"STEESE","POTR","Both",0
3,"STEESE","POTR","Hare",0.02
3,"STEESE","POTR","Moose",0.04
3,"STEESE","SALIX","Both",0
3,"STEESE","SALIX","Hare",0.04
3,"STEESE","SALIX","Moose",0.02
