SITE,SITENUM,TREAT,CORNER,HARE,HARE_PRESENT,MOOSE,MOOSE_PRESENT
DALTON,54_3,3,NE,60,Y,0,Y
DALTON,54_3,3,SE,154,Y,0,Y
DALTON,54_3,3,SW,98,Y,0,Y
DALTON,54_3,3,NW,35,Y,0,Y
DALTON,14_3,3,NE,89,Y,0,Y
DALTON,14_3,3,SE,211,Y,11,Y
DALTON,14_3,3,SW,90,Y,0,Y
DALTON,14_3,3,NW,46,Y,0,Y
DALTON,37_3,3,NE,79,Y,0,Y
DALTON,37_3,3,SE,54,Y,0,Y
DALTON,37_3,3,SW,28,Y,0,Y
DALTON,37_3,3,NW,216,Y,84,Y
DALTON,11_0,0,NE,0,Y,0,Y
DALTON,11_0,0,SE,3,Y,0,Y
DALTON,11_0,0,SW,1,Y,0,Y
DALTON,11_0,0,NW,4,Y,0,Y
DALTON,56_2,2,NE,32,Y,0,N
DALTON,56_2,2,SE,26,Y,0,N
DALTON,56_2,2,SW,13,Y,0,N
DALTON,56_2,2,NW,24,Y,0,N
DALTON,12_1,1,NE,237,Y,0,N
DALTON,12_1,1,SE,15,Y,0,N
DALTON,12_1,1,SW,5,Y,0,N
DALTON,12_1,1,NW,5,Y,0,N
DALTON,16_2,2,NE,40,Y,0,Y
DALTON,16_2,2,SE,49,Y,0,Y
DALTON,16_2,2,SW,30,Y,0,Y
DALTON,16_2,2,NW,8,Y,0,Y
DALTON,41_1,1,NE,0,Y,0,N
DALTON,41_1,1,SE,0,Y,0,N
DALTON,41_1,1,SW,0,Y,0,N
DALTON,41_1,1,NW,0,Y,0,N
DALTON,48_1,1,NE,2,Y,0,Y
DALTON,48_1,1,SE,28,Y,0,Y
DALTON,48_1,1,SW,2,Y,0,Y
DALTON,48_1,1,NW,2,Y,0,Y
DALTON,50_1,1,NE,83,Y,0,N
DALTON,50_1,1,SE,27,Y,0,N
DALTON,50_1,1,SW,15,Y,0,N
DALTON,50_1,1,NW,1,Y,0,N
STEESE,20_1,1,NE,0,Y,0,Y
STEESE,20_1,1,SE,0,Y,0,Y
STEESE,20_1,1,SW,2,Y,0,Y
STEESE,20_1,1,NW,1,Y,0,Y
STEESE,36_1,1,NE,3,Y,0,N
STEESE,36_1,1,SE,0,Y,0,N
STEESE,36_1,1,SW,0,Y,0,N
STEESE,36_1,1,NW,0,Y,0,N
DALTON,8_2,2,NE,35,Y,0,Y
DALTON,8_2,2,SE,26,Y,85,Y
DALTON,8_2,2,SW,68,Y,0,Y
DALTON,8_2,2,NW,86,Y,10,Y
DALTON,64_1,1,NE,1,Y,0,N
DALTON,64_1,1,SE,4,Y,0,N
DALTON,64_1,1,SW,0,Y,0,N
DALTON,64_1,1,NW,0,Y,0,N
DALTON,65_1,1,NE,0,Y,0,N
DALTON,65_1,1,SE,3,Y,0,N
DALTON,65_1,1,SW,2,Y,0,N
DALTON,65_1,1,NW,0,Y,0,N
DALTON,55_3,3,NE,74,Y,0,N
DALTON,55_3,3,SE,55,Y,0,N
DALTON,55_3,3,SW,59,Y,0,N
DALTON,55_3,3,NW,75,Y,0,N
STEESE,9_0,0,NE,0,N,0,N
STEESE,9_0,0,SE,0,N,0,N
STEESE,9_0,0,SW,0,N,0,N
STEESE,9_0,0,NW,0,N,0,N
STEESE,6_0,0,NE,1,Y,0,N
STEESE,6_0,0,SE,3,Y,0,N
STEESE,6_0,0,SW,0,Y,0,N
STEESE,6_0,0,NW,0,Y,0,N
STEESE,26_2,2,NE,0,N,0,N
STEESE,26_2,2,SE,0,N,0,N
STEESE,26_2,2,SW,0,N,0,N
STEESE,26_2,2,NW,0,N,0,N
STEESE,5_1,1,NE,0,Y,0,N
STEESE,5_1,1,SE,3,Y,0,N
STEESE,5_1,1,SW,2,Y,0,N
STEESE,5_1,1,NW,11,Y,0,N
STEESE,28_1,1,NE,4,Y,5,Y
STEESE,28_1,1,SE,0,Y,0,Y
STEESE,28_1,1,SW,0,Y,0,Y
STEESE,28_1,1,NW,5,Y,0,Y
STEESE,18_1,1,NE,0,N,0,N
STEESE,18_1,1,SE,0,N,0,N
STEESE,18_1,1,SW,0,N,0,N
STEESE,18_1,1,NW,0,N,0,N
STEESE,29_1,1,NE,0,N,0,N
STEESE,29_1,1,SE,0,N,0,N
STEESE,29_1,1,SW,0,N,0,N
STEESE,29_1,1,NW,0,N,0,N
