"SITE","TREAT","PLOT","Overstory","Understory","CWD","TAB"
"DALTON",0,"10_0",7920.46584109993,1.78728492414571,779.4110103,8701.66413632408
"DALTON",0,"11_0",6527.77014640729,199.873753756316,4855.694788,11583.3386881636
"DALTON",0,"44_0",4897.21348996928,51.9297005040849,7593.407682,12542.5508724734
"DALTON",0,"58_0",8499.23635485004,55.2933291996873,4194.884306,12749.4139900497
"DALTON",1,"12_1",165.638203018184,517.029979493719,4906.814549,5589.4827315119
"DALTON",1,"41_1",732.073516620837,123.21909763799,5111.740084,5967.03269825883
"DALTON",1,"42_1",2380.69329547823,263.079326087159,4227.482309,6871.25493056539
"DALTON",1,"48_1",1692.20518021568,595.92546153273,4710.491814,6998.62245574841
"DALTON",1,"50_1",169.454777996615,122.444383458338,2239.606583,2531.50574445495
"DALTON",1,"52_1",1953.45747431027,25.0681488409844,4048.681485,6027.20710815125
"DALTON",1,"64_1",1670.34603251321,715.455026813724,7941.074908,10326.8759673269
"DALTON",1,"65_1",2090.60965516969,451.839961754034,9295.600716,11838.0503329237
"DALTON",2,"16_2",351.850863474993,401.866969585283,9444.1043,10197.8221330603
"DALTON",2,"32_2",786.158187873983,335.379030688081,2852.092852,3973.63007056206
"DALTON",2,"39_2",212.21440677928,14.5757992159469,1970.581141,2197.37134699523
"DALTON",2,"40_2",740.230732774718,7.4345983140493,4017.180266,4764.84559708877
"DALTON",2,"47_2",399.174329668486,306,987.2924793,1692.46680896849
"DALTON",2,"56_2",406.172418075624,508.258969666547,1134.315171,2048.74655874217
"DALTON",2,"57_2",738.740958481083,595.260532234902,1827.35657,3161.35806071598
"DALTON",2,"8_2",951.783455692953,280.810750169751,1164.864936,2397.4591418627
"DALTON",3,"14_3",176.787461588127,185.919081027522,4841.502276,5204.20881861565
"DALTON",3,"15_3",1512.14551968221,455.837104845089,679.0584681,2647.0410926273
"DALTON",3,"37_3",402.024425595776,20.1640856299696,2669.789814,3091.97832522575
"DALTON",3,"54_3",414.233492759057,57.3607230613022,2645.915494,3117.50970982036
"DALTON",3,"55_3",709.89046724986,132.68853503897,2906.861641,3749.44064328883
"DALTON",3,"7_3",1338.19727626842,133.453793083625,1916.979221,3388.63029035204
"STEESE",0,"1_0",3964.93547127034,137.504725724448,2995.698045,7098.13824199479
"STEESE",0,"31_0",3219.20883962544,211.995656230822,4660.344866,8091.54936185626
"STEESE",0,"6_0",4745.28688148215,397.251995405732,1981.150869,7123.68974588788
"STEESE",0,"9_0",5882.84053974847,340.530125224576,2445.340621,8668.71128597305
"STEESE",1,"18_1",1814.17630984155,75.9721293178157,6235.957693,8126.10613215937
"STEESE",1,"20_1",1997.30427521568,610.811173181073,3214.085584,5822.20103239675
"STEESE",1,"28_1",1785.68331184137,810.417022286078,986.4454599,3582.54579402745
"STEESE",1,"29_1",476.842753170628,444.017472253752,5511.675857,6432.53608242438
"STEESE",1,"33_1",2520.72445540484,505.896891451733,2508.212273,5534.83361985657
"STEESE",1,"36_1",2195.58809679232,81.5963393449701,9849.011628,12126.1960641373
"STEESE",1,"5_1",1203.3794959013,773.239034264099,2966.656713,4943.2752431654
"STEESE",2,"19_2",1219.53034177458,1078.9479611843,3056.86972,5355.34802295888
"STEESE",2,"26_2",474.587538204911,2515.85861510642,1651.743226,4642.18937931133
"STEESE",2,"27_2",1137.20335938168,1474.05895101575,2222.114299,4833.37660939743
"STEESE",2,"3_2",685.392779972397,2112.21299357278,1247.586497,4045.19227054518
"STEESE",2,"34_2",397.804811614268,1560,1175.854947,3133.65975861427
"STEESE",2,"4_2",917.30714091456,618.672301968281,1346.030931,2882.01037388284
"STEESE",3,"17_3",463.048810734356,274.709787495503,1905.656391,2643.41498922986
"STEESE",3,"2_3",444.58386855805,20.8432539088004,1388.91864,1854.34576246685
"STEESE",3,"22_3",375.877621421503,276.33663075444,1852.396659,2504.61091117594
"STEESE",3,"23_3",178.909390885133,185.283725116927,737.5399738,1101.73308980206
"STEESE",3,"24_3",745.136302240294,180.346633631241,291.7606959,1217.24363177153
"STEESE",3,"25_3",253.983564088401,NA,614.3527101,NA
"STEESE",3,"35_3",293.076085475892,40.8473610574115,753.4819199,1087.4053664333
