"SITE","TREAT","PLOT","Biomass_gm2","dens_gm2","decidba_gm2","avSOLdepth_CM"
"DALTON",0,"10_0",7922.25312602408,0.0929166666666667,0.000320634873216191,20
"DALTON",0,"11_0",6727.64390016361,0.09875,0.0001841523073718,17.6
"DALTON",0,"44_0",4949.14319047337,0.075,0.000107340366991529,18.8
"DALTON",0,"58_0",8554.52968404973,0.0575,0.000480589063173716,17
"DALTON",1,"12_1",682.668182511903,1.32833333333333,0.00000171413149161493,4.5
"DALTON",1,"41_1",855.292614258827,0.170833333333333,0.0000409212078084155,8.2
"DALTON",1,"42_1",2643.77262156539,0.0433333333333333,0.00000469864451252524,11.4
"DALTON",1,"48_1",2288.13064174841,0.125833333333333,0.0000983023976262331,2.8
"DALTON",1,"50_1",291.899161454953,0.430416666666667,0.0000014765485471872,4
"DALTON",1,"52_1",1978.52562315125,0.0229166666666667,0.00000241509935244716,6.8
"DALTON",1,"64_1",2385.80105932693,0.13125,0.0000187199652245782,5.2
"DALTON",1,"65_1",2542.44961692372,0.101666666666667,0.0000115198275616321,3.3
"DALTON",2,"16_2",753.717833060276,0.252916666666667,0.0000635622733637555,3.2
"DALTON",2,"32_2",1121.53721856206,0.055,0.000110185471838437,1.62
"DALTON",2,"39_2",226.790205995227,0.0441666666666667,0.0000472063566110037,7.3
"DALTON",2,"40_2",747.665331088767,0.0666666666666667,0.000140965225861982,2
"DALTON",2,"47_2",705.174329668486,0.605,0.000106091583911727,4.8
"DALTON",2,"56_2",914.431387742171,0.442916666666667,0.0000340234484383775,3.3
"DALTON",2,"57_2",1334.00149071599,0.32625,0.000179966135160891,0.9
"DALTON",2,"8_2",1232.5942058627,0.101666666666667,0.000131990088349758,1.4
"DALTON",3,"14_3",362.706542615649,0.0954166666666667,0.0000391736968948563,0.875
"DALTON",3,"15_3",1967.9826245273,1.08875,0.0000369235311567225,2.97
"DALTON",3,"37_3",422.188511225746,0.09375,0.0000844067406203238,2.5
"DALTON",3,"54_3",471.594215820359,0.0554166666666667,0.000129262793227361,1.25
"DALTON",3,"55_3",842.57900228883,0.155833333333333,0.000173596556055738,1.62
"DALTON",3,"7_3",1471.65106935204,0.07125,0.0000316515459849172,1.7
"STEESE",0,"1_0",4102.44019699479,0.0691666666666667,0.00000143138815279185,20.5
"STEESE",0,"31_0",3431.20449585626,0.0279166666666667,NA,18.6
"STEESE",0,"6_0",5142.53887688788,0.0425,0.000171770976564737,19.8
"STEESE",0,"9_0",6223.37066497305,0.04875,0.00000169716689128555,21.9
"STEESE",1,"18_1",1890.14843915937,0.0816666666666667,0.00000379740012002666,7.75
"STEESE",1,"20_1",2608.11544839675,0.0325,0.0000146457122519539,13
"STEESE",1,"28_1",2596.10033412745,0.0766666666666667,0.00000135677532726909,11
"STEESE",1,"29_1",920.86022542438,0.11125,0.0000108699105814207,11
"STEESE",1,"33_1",3026.62134685657,0.102916666666667,0.00000629496627963056,8.5
"STEESE",1,"36_1",2277.18443613729,0.04125,0.00000141764368493239,12.6
"STEESE",1,"5_1",1976.6185301654,0.102083333333333,0.00000708429143384499,11.4
"STEESE",2,"19_2",2298.47830295888,0.0954166666666667,0.00000487339560388117,9.6
"STEESE",2,"26_2",2990.44615331133,0.19625,0.0000103692192522548,13
"STEESE",2,"27_2",2611.26231039743,0.0829166666666667,0.00000227961816926109,9.6
"STEESE",2,"3_2",2797.60577354518,0.125,0.00000242491682948963,11
"STEESE",2,"34_2",1957.80481161427,0.260833333333333,0.0000153525705990116,2.6
"STEESE",2,"4_2",1535.97944288284,0.0933333333333333,0.000000647953484802896,13
"STEESE",3,"17_3",737.758598229859,0.205833333333333,0.0000566880759386194,3.4
"STEESE",3,"2_3",465.42712246685,0.0675,0.0000956163359074138,1.6
"STEESE",3,"22_3",652.214252175943,0.152916666666667,0.0000525490276175148,6
"STEESE",3,"23_3",364.19311600206,0.095,0.0000217947990342792,4
"STEESE",3,"24_3",925.482935871535,0.127083333333333,0.00016539503573446,1.2
"STEESE",3,"25_3",NA,0.113333333333333,0.000040616866020099,2.6
"STEESE",3,"35_3",333.923446533303,0.0558333333333333,0.0000541414223938031,1.8
