"SITE","TREAT","PLOT","ORG_MIN","SD","C_gm2"
"DALTON",0,"10_0","M",851.562098983908,1253.36119561238
"DALTON",0,"10_0","O",966.433111499825,4130.36902484284
"DALTON",0,"11_0","M",1085.10600654151,1064.87155887069
"DALTON",0,"11_0","O",1486.84795575016,2742.82000502592
"DALTON",0,"44_0","M",1132.92284664315,1396.46055826515
"DALTON",0,"44_0","O",2379.6212172996,4594.55850183499
"DALTON",0,"58_0","M",958.85263941816,1264.60326484507
"DALTON",0,"58_0","O",1950.11892350849,3801.48462198381
"DALTON",1,"12_1","M",2011.31111538979,1938.70513825796
"DALTON",1,"12_1","O",1458.62926090997,2678.03049895376
"DALTON",1,"41_1","M",551.660182898589,924.698087050551
"DALTON",1,"41_1","O",1339.00949059723,3162.92957161921
"DALTON",1,"42_1","M",961.005418470842,1892.90770257956
"DALTON",1,"42_1","O",878.420694330074,5247.88428369311
"DALTON",1,"48_1","M",1833.62310369645,1881.06915574776
"DALTON",1,"48_1","O",730.526074742842,2755.3061678189
"DALTON",1,"50_1","M",1788.64952940174,1750.36614140439
"DALTON",1,"50_1","O",900.894565787233,3574.27194155376
"DALTON",1,"52_1","M",896.876953077432,1226.85252889234
"DALTON",1,"52_1","O",1751.05813674804,3048.92004848814
"DALTON",1,"64_1","M",1411.19604140031,2221.84727210747
"DALTON",1,"64_1","O",1004.31147734579,3385.01609396186
"DALTON",1,"65_1","M",2160.53913683482,2181.47758596881
"DALTON",1,"65_1","O",798.794458660234,3099.14401694543
"DALTON",2,"16_2","M",824.727803539176,1005.33220620374
"DALTON",2,"16_2","O",1168.08603335705,1480.09457157701
"DALTON",2,"18_1","M",NA,1882.76680847407
"DALTON",2,"32_2","M",703.533379977392,1085.10473201509
"DALTON",2,"32_2","O",386.797193684746,841.501249095726
"DALTON",2,"39_2","M",1816.98444398948,2377.14177068539
"DALTON",2,"39_2","O",484.295281457987,2551.82865527503
"DALTON",2,"40_2","M",1404.19553488625,1980.07499085173
"DALTON",2,"40_2","O",913.842131743357,2323.55888053759
"DALTON",2,"47_2","M",2354.58963541383,2136.96999344897
"DALTON",2,"47_2","O",1604.34186786753,3216.55491680867
"DALTON",2,"56_2","M",1224.60278542154,1281.69572280705
"DALTON",2,"56_2","O",1795.43129275652,2676.56964534302
"DALTON",2,"57_2","M",1205.53351682726,1139.9205187137
"DALTON",2,"57_2","O",849.732283167509,2029.43508923733
"DALTON",2,"8_2","M",1697.19442751394,1406.45064703801
"DALTON",2,"8_2","O",517.899834620344,839.314550958643
"DALTON",3,"14_3","M",7903.76336237519,3498.39398627285
"DALTON",3,"14_3","O",409.535861509831,674.027192831775
"DALTON",3,"15_3","M",1289.81513835721,1581.79065597587
"DALTON",3,"15_3","O",268.047076234872,869.518628785275
"DALTON",3,"37_3","M",2551.84310403594,1726.81911487187
"DALTON",3,"37_3","O",332.812566621509,835.776138145989
"DALTON",3,"54_3","M",777.836071056974,1287.95266311595
"DALTON",3,"54_3","O",1345.29728506401,1528.95685385844
"DALTON",3,"55_3","M",1062.2999469242,1064.69960973062
"DALTON",3,"55_3","O",432.150303079968,637.102064440491
"DALTON",3,"7_3","M",889.906805376286,1088.20154569818
"DALTON",3,"7_3","O",530.127939594119,701.358671634843
"STEESE",0,"1_0","M",281.27192208253,444.787632027919
"STEESE",0,"1_0","O",1431.40010320186,2624.42509676486
"STEESE",0,"31_0","M",950.673557156663,1475.74707430551
"STEESE",0,"31_0","O",6458.63173146251,8502.7659971346
"STEESE",0,"6_0","M",339.904471958177,830.881217036724
"STEESE",0,"6_0","O",1661.88225696103,2870.13767687787
"STEESE",0,"9_0","M",543.027684524481,985.792143590295
"STEESE",0,"9_0","O",6401.94029691532,8188.14587346187
"STEESE",1,"18_1","M",832.95313142355,1189.46073813042
