"SITE","TREAT","PLOT","CORNER","ORG_MIN","DEPTH","C_gm2"
"DALTON",0,"10_0","C","M","0_5",99.0213783481434
"DALTON",0,"10_0","C","M","10_15",48.4257553601039
"DALTON",0,"10_0","C","M","5_10",13.4872322548596
"DALTON",0,"10_0","C","O","FULL",208.140434562908
"DALTON",0,"10_0","NE","M","0_5",145.161412233099
"DALTON",0,"10_0","NE","M","10_15",48.6053192168278
"DALTON",0,"10_0","NE","M","5_10",64.6937105029763
"DALTON",0,"10_0","NE","O","FULL",144.913665935557
"DALTON",0,"10_0","NW","M","0_5",102.046258896251
"DALTON",0,"10_0","NW","M","10_15",101.173646950533
"DALTON",0,"10_0","NW","M","5_10",77.6175818112428
"DALTON",0,"10_0","NW","O","FULL",205.08990338773
"DALTON",0,"10_0","SE","M","0_5",106.52086878022
"DALTON",0,"10_0","SE","M","10_15",91.0643516776731
"DALTON",0,"10_0","SE","M","5_10",110.984930776608
"DALTON",0,"10_0","SE","O","FULL",174.995188522318
"DALTON",0,"10_0","SW","M","0_5",138.038763817477
"DALTON",0,"10_0","SW","M","10_15",187.873440292633
"DALTON",0,"10_0","SW","M","5_10",30.8232330638227
"DALTON",0,"10_0","SW","O","FULL",325.313330924837
"DALTON",0,"11_0","C","M","0_5",110.944871859288
"DALTON",0,"11_0","C","M","10_15",57.738329681687
"DALTON",0,"11_0","C","O","FULL",73.5133855300812
"DALTON",0,"11_0","NE","M","10_15",56.7931121491332
"DALTON",0,"11_0","NE","M","5_10",95.307138589758
"DALTON",0,"11_0","NE","O","FULL",68.2505424922716
"DALTON",0,"11_0","NW","M","0_5",157.973579682711
"DALTON",0,"11_0","NW","M","10_15",53.3138654927797
"DALTON",0,"11_0","NW","M","5_10",69.2844624278075
"DALTON",0,"11_0","NW","O","FULL",184.989889910378
"DALTON",0,"11_0","SE","M","0_5",76.186873256267
"DALTON",0,"11_0","SE","M","10_15",34.9667660829228
"DALTON",0,"11_0","SE","M","5_10",59.5300296023792
"DALTON",0,"11_0","SE","O","FULL",96.8520871075073
"DALTON",0,"11_0","SW","M","0_5",402.423468138571
"DALTON",0,"11_0","SW","M","10_15",89.4216478739179
"DALTON",0,"11_0","SW","M","5_10",56.470104706458
"DALTON",0,"11_0","SW","O","FULL",284.542337954285
"DALTON",0,"58_0","C","M","0_5",65.8517302265288
"DALTON",0,"58_0","C","M","10_15",163.705117350837
"DALTON",0,"58_0","C","M","5_10",93.1575597947669
