"SITE","TREAT","PLOT","Soil_gm2","dens_gm2","decidba_gm2","avSOLdepth_CM"
"DALTON",0,"10_0",5744.7342901747,0.0929166666666667,0.000320634873216191,20
"DALTON",0,"11_0",3284.51289879689,0.09875,0.0001841523073718,17.6
"DALTON",0,"44_0",8459.89134908366,0.075,0.000107340366991529,18.8
"DALTON",0,"58_0",4820.42598503548,0.0575,0.000480589063173716,17
"DALTON",1,"12_1",1055.34189019402,1.32833333333333,1.71413149161493e-06,4.5
"DALTON",1,"41_1",3425.17247453127,0.170833333333333,4.09212078084155e-05,8.2
"DALTON",1,"42_1",7385.7873394899,0.0433333333333333,4.69864451252524e-06,11.4
"DALTON",1,"48_1",2950.90416625635,0.125833333333333,9.83023976262331e-05,2.8
"DALTON",1,"50_1",1284.46005409418,0.430416666666667,1.4765485471872e-06,4
"DALTON",1,"52_1",1511.60458547859,0.0229166666666667,2.41509935244716e-06,6.8
"DALTON",1,"64_1",1675.08052483482,0.13125,1.87199652245782e-05,5.2
"DALTON",1,"65_1",1205.04902441439,0.101666666666667,1.15198275616321e-05,3.3
"DALTON",2,"16_2",1917.74908321793,0.252916666666667,6.35622733637555e-05,3.2
"DALTON",2,"32_2",362.154421570661,0.055,0.000110185471838437,1.62
"DALTON",2,"39_2",5404.70768251954,0.0441666666666667,4.72063566110037e-05,7.3
"DALTON",2,"40_2",4278.28199476659,0.0666666666666667,0.000140965225861982,2
"DALTON",2,"47_2",1425.15798754944,0.605,0.000106091583911727,4.8
"DALTON",2,"56_2",931.483141838409,0.442916666666667,3.40234484383775e-05,3.3
"DALTON",2,"57_2",322.514680633763,0.32625,0.000179966135160891,0.9
"DALTON",2,"8_2",2902.86373925503,0.101666666666667,0.000131990088349758,1.4
"DALTON",3,"14_3",6339.53644496919,0.0954166666666667,3.91736968948563e-05,0.875
"DALTON",3,"15_3",576.165797467716,1.08875,3.69235311567225e-05,2.97
"DALTON",3,"37_3",580.477704082987,0.09375,8.44067406203238e-05,2.5
"DALTON",3,"54_3",2482.04205672023,0.0554166666666667,0.000129262793227361,1.25
"DALTON",3,"55_3",1974.58937362818,0.155833333333333,0.000173596556055738,1.62
"DALTON",3,"7_3",2289.10702812744,0.07125,3.16515459849172e-05,1.7
"STEESE",0,"1_0",4128.48226259526,0.0691666666666667,1.43138815279185e-06,20.5
"STEESE",0,"31_0",14858.8037546896,0.0279166666666667,NA,18.6
"STEESE",0,"6_0",5700.18564966914,0.0425,0.000171770976564737,19.8
"STEESE",0,"9_0",13530.9916939199,0.04875,1.69716689128555e-06,21.9
"STEESE",1,"18_1",3639.57615988336,0.0816666666666667,3.79740012002666e-06,7.75
"STEESE",1,"20_1",11396.0792851082,0.0325,1.46457122519539e-05,13
"STEESE",1,"28_1",5219.73083048988,0.0766666666666667,1.35677532726909e-06,11
"STEESE",1,"29_1",4851.1343110216,0.11125,1.08699105814207e-05,11
"STEESE",1,"33_1",4060.89854686314,0.102916666666667,6.29496627963056e-06,8.5
"STEESE",1,"36_1",6570.72618623847,0.04125,1.41764368493239e-06,12.6
"STEESE",1,"5_1",6246.7820392711,0.102083333333333,7.08429143384499e-06,11.4
"STEESE",2,"19_2",7903.97928803903,0.0954166666666667,4.87339560388117e-06,9.6
"STEESE",2,"26_2",5444.11564723597,0.19625,1.03692192522548e-05,13
"STEESE",2,"27_2",6267.67780996345,0.0829166666666667,2.27961816926109e-06,9.6
"STEESE",2,"3_2",7857.75825252557,0.125,2.42491682948963e-06,11
"STEESE",2,"34_2",3041.71674811898,0.260833333333333,1.53525705990116e-05,2.6
"STEESE",2,"4_2",9045.15469604715,0.0933333333333333,6.47953484802896e-07,13
"STEESE",3,"17_3",3609.59652118709,0.205833333333333,5.66880759386194e-05,3.4
"STEESE",3,"2_3",1976.35765781484,0.0675,9.56163359074138e-05,1.6
"STEESE",3,"22_3",5267.33880370678,0.152916666666667,5.25490276175148e-05,6
"STEESE",3,"23_3",4296.01068311931,0.095,2.17947990342792e-05,4
"STEESE",3,"24_3",2054.95247547312,0.127083333333333,0.00016539503573446,1.2
"STEESE",3,"25_3",3064.58566737523,0.113333333333333,4.0616866020099e-05,2.6
"STEESE",3,"35_3",2150.741518035,0.0558333333333333,5.41414223938031e-05,1.8
