"SITE","TREAT","PLOT","Overstory","Understory","CWD","TAB"
"DALTON",0,"10_0",9596.22037897435,1.78728492414571,779.4110103,10377.4186741985
"DALTON",0,"11_0",6868.13290968085,199.873753756316,4855.694788,11923.7014514372
"DALTON",0,"44_0",2465.53835436873,51.9297005040849,7593.407682,10110.8757368728
"DALTON",0,"58_0",11465.1636397628,55.2933291996873,4194.884306,15715.3412749625
"DALTON",1,"12_1",24.0547706706593,517.029979493719,4906.814549,5447.89929916438
"DALTON",1,"41_1",786.432355813384,123.21909763799,5111.740084,6021.39153745137
"DALTON",1,"42_1",1866.30744919492,263.079326087159,4227.482309,6356.86908428208
"DALTON",1,"48_1",644.784956499714,595.92546153273,4710.491814,5951.20223203244
"DALTON",1,"50_1",35.3689875929383,122.444383458338,2239.606583,2397.41995405128
"DALTON",1,"52_1",1861.37226829806,25.0681488409844,4048.681485,5935.12190213904
"DALTON",1,"64_1",1324.64115350887,715.455026813724,7941.074908,9981.1710883226
"DALTON",1,"65_1",1712.88593413744,451.839961754034,9295.600716,11460.3266118915
"DALTON",2,"16_2",497.816873741674,401.866969585283,9444.1043,10343.788143327
"DALTON",2,"32_2",347.452371895422,335.379030688081,2852.092852,3534.9242545835
"DALTON",2,"39_2",241.892876636548,14.5757992159469,1970.581141,2227.04981685249
"DALTON",2,"40_2",1246.80255636927,7.4345983140493,4017.180266,5271.41742068332
"DALTON",2,"56_2",103.237173480594,508.258969666547,987.2924793,1598.78862244714
"DALTON",2,"57_2",1002.99478531812,595.260532234902,1134.315171,2732.57048855302
"DALTON",2,"57_2",1002.99478531812,NA,1827.35657,NA
"DALTON",2,"8_2",1216.16914009452,280.810750169751,1164.864936,2661.84482626427
"DALTON",3,"14_3",215.305171892982,185.919081027522,4841.502276,5242.7265289205
"DALTON",3,"15_3",541.49209590886,455.837104845089,679.0584681,1676.38766885395
"DALTON",3,"37_3",613.936939002339,20.1640856299696,2669.789814,3303.89083863231
"DALTON",3,"54_3",798.189084456424,57.3607230613022,2645.915494,3501.46530151773
"DALTON",3,"55_3",1089.34321031384,132.68853503897,2906.861641,4128.89338635281
"DALTON",3,"7_3",455.834552819371,133.453793083625,1916.979221,2506.267566903
"STEESE",0,"1_0",1095.79743996237,137.504725724448,2995.698045,4229.00021068682
"STEESE",0,"31_0",771.349240794088,211.995656230822,4660.344866,5643.68976302491
"STEESE",0,"6_0",1773.6010438773,397.251995405732,1981.150869,4152.00390828303
"STEESE",0,"9_0",1499.35803673999,340.530125224576,2445.340621,4285.22878296457
"STEESE",1,"18_1",489.159132701904,75.9721293178157,6235.957693,6801.08895501972
"STEESE",1,"20_1",1662.66006911308,610.811173181073,3214.085584,5487.55682629415
"STEESE",1,"28_1",296.631323118377,810.417022286078,986.4454599,2093.49380530445
"STEESE",1,"29_1",366.992609053943,444.017472253752,5511.675857,6322.6859383077
"STEESE",1,"33_1",520.879723048739,505.896891451733,2508.212273,3534.98888750047
"STEESE",1,"36_1",1803.08684480971,81.5963393449701,9849.011628,11733.6948121547
"STEESE",1,"5_1",858.5270603244,773.239034264099,2966.656713,4598.4228075885
"STEESE",2,"19_2",214.165843587504,1078.9479611843,3056.86972,4349.9835247718
"STEESE",2,"26_2",365.49290975876,2515.85861510642,1651.743226,4533.09475086518
"STEESE",2,"27_2",842.4718302224,1474.05895101575,2222.114299,4538.64508023815
"STEESE",2,"27_2",842.4718302224,NA,1247.586497,NA
"STEESE",2,"3_2",509.548771028528,2112.21299357278,1175.854947,3797.61671160131
"STEESE",2,"4_2",148.283004439848,618.672301968281,1346.030931,2112.98623740813
"STEESE",3,"17_3",390.348159119283,274.709787495503,1905.656391,2570.71433761479
"STEESE",3,"2_3",490.929232911778,20.8432539088004,1388.91864,1900.69112682058
"STEESE",3,"22_3",395.228248904387,276.33663075444,1852.396659,2523.96153865883
"STEESE",3,"23_3",184.43050218969,185.283725116927,737.5399738,1107.25420110662
"STEESE",3,"24_3",1072.88108012221,180.346633631241,291.7606959,1544.98840965345
"STEESE",3,"25_3",279.65530944658,188.172399018293,614.3527101,1082.18041856487
"STEESE",3,"35_3",402.159817988312,40.8473610574115,753.4819199,1196.48909894572
