"SITE","TREAT","PLOT","Type","Carbon_m2"
"DALTON",0,"10_0","Overstory",7922.25312602408
"DALTON",0,"10_0","CWD",779.4110103
"DALTON",0,"10_0","Soil",5383.73022045522
"DALTON",0,"10_0","totalC",14085.3943567793
"DALTON",0,"11_0","Overstory",6727.6439001636
"DALTON",0,"11_0","CWD",4855.694788
"DALTON",0,"11_0","Soil",3807.69156389661
"DALTON",0,"11_0","totalC",15391.0302520602
"DALTON",0,"44_0","Overstory",4949.14319047337
"DALTON",0,"44_0","CWD",7593.407682
"DALTON",0,"44_0","Soil",5991.01906010014
"DALTON",0,"44_0","totalC",18533.5699325735
"DALTON",0,"58_0","Overstory",8554.52968404973
"DALTON",0,"58_0","CWD",4194.884306
"DALTON",0,"58_0","Soil",5066.08788682888
"DALTON",0,"58_0","totalC",17815.5018768786
"DALTON",1,"12_1","Overstory",682.668182511903
"DALTON",1,"12_1","CWD",4906.814549
"DALTON",1,"12_1","Soil",4616.73563721172
"DALTON",1,"12_1","totalC",10206.2183687236
"DALTON",1,"41_1","Overstory",855.292614258827
"DALTON",1,"41_1","CWD",5111.740084
"DALTON",1,"41_1","Soil",4087.62765866976
"DALTON",1,"41_1","totalC",10054.6603569286
"DALTON",1,"42_1","Overstory",2643.77262156539
"DALTON",1,"42_1","CWD",4227.482309
"DALTON",1,"42_1","Soil",7140.79198627267
"DALTON",1,"42_1","totalC",14012.0469168381
"DALTON",1,"48_1","Overstory",2288.13064174841
"DALTON",1,"48_1","CWD",4710.491814
"DALTON",1,"48_1","Soil",4636.37532356666
"DALTON",1,"48_1","totalC",11634.9977793151
"DALTON",1,"50_1","Overstory",291.899161454953
"DALTON",1,"50_1","CWD",2239.606583
"DALTON",1,"50_1","Soil",5324.63808295815
"DALTON",1,"50_1","totalC",7856.1438274131
"DALTON",1,"52_1","Overstory",1978.52562315125
"DALTON",1,"52_1","CWD",4048.681485
"DALTON",1,"52_1","Soil",4275.77257738048
"DALTON",1,"52_1","totalC",10302.9796855317
"DALTON",1,"64_1","Overstory",2385.80105932693
"DALTON",1,"64_1","CWD",7941.074908
"DALTON",1,"64_1","Soil",5606.86336606933
"DALTON",1,"64_1","totalC",15933.7393333963
"DALTON",1,"65_1","Overstory",2542.44961692372
"DALTON",1,"65_1","CWD",9295.600716
"DALTON",1,"65_1","Soil",5280.62160291424
"DALTON",1,"65_1","totalC",17118.671935838
"DALTON",2,"16_2","Overstory",753.717833060276
"DALTON",2,"16_2","CWD",9444.1043
"DALTON",2,"16_2","Soil",2485.42677778075
"DALTON",2,"16_2","totalC",12683.248910841
"DALTON",2,"32_2","Overstory",1121.53721856206
"DALTON",2,"32_2","CWD",2852.092852
"DALTON",2,"32_2","Soil",1926.60598111082
"DALTON",2,"32_2","totalC",5900.23605167288
"DALTON",2,"39_2","Overstory",226.790205995227
"DALTON",2,"39_2","CWD",1970.581141
"DALTON",2,"39_2","Soil",4928.97042596042
"DALTON",2,"39_2","totalC",7126.34177295565
"DALTON",2,"40_2","Overstory",747.665331088767
"DALTON",2,"40_2","CWD",4017.180266
"DALTON",2,"40_2","Soil",4303.63387138932
"DALTON",2,"40_2","totalC",9068.47946847809
"DALTON",2,"47_2","Overstory",705.174329668486
"DALTON",2,"47_2","CWD",987.2924793
"DALTON",2,"47_2","Soil",5353.52491025764
"DALTON",2,"47_2","totalC",7045.99171922613
"DALTON",2,"56_2","Overstory",914.431387742171
"DALTON",2,"56_2","CWD",1134.315171
