SITE,TREAT,PLOT,n,MEDIAN,MAX,USE,,AGE_CONFIRM
DALTON,0,10_0,11,78,86,78,,
DALTON,0,11_0,10,77.5,87,78,,
DALTON,0,44_0,11,79,83,79,,
DALTON,0,58_0,19,75,87,75,,
DALTON,1,12_1,7,7,11,13,13,2005
DALTON,1,41_1,3,15,27,13,13,2005
DALTON,1,42_1,1,16,16,15,15,2003
DALTON,1,48_1,4,9,10,13,13,2005
DALTON,1,50_1,1,NA,NA,13,13,2005
DALTON,1,52_1,2,10.5,11,13,13,2005
DALTON,1,64_1,1,NA,NA,13,13,2005
DALTON,1,65_1,1,NA,NA,13,13,2005
DALTON,2,16_2,4,10,12,13,13,2005
DALTON,2,32_2,6,13,16,15,15,2003
DALTON,2,39_2,6,11.5,14,13,13,2005
DALTON,2,40_2,3,16,18,15,15,2003
DALTON,2,47_2,1,NA,NA,13,13,2005
DALTON,2,56_2,4,7.5,10,13,13,2005
DALTON,2,57_2,6,9,14,13,13,2005
DALTON,2,8_2,6,9,13,13,13,2005
DALTON,3,14_3,3,7,11,13,13,2005
DALTON,3,15_3,2,11,14,13,13,2005
DALTON,3,37_3,4,7.5,15,13,13,2005
DALTON,3,54_3,4,9,10,13,13,2005
DALTON,3,55_3,1,52,52,13,13,2005
DALTON,3,7_3,4,6.5,9,13,13,2005
STEESE,0,1_0,4,81,93,81,,
STEESE,0,31_0,3,61,106,61,,
STEESE,0,6_0,7,80,84,80,,
STEESE,0,9_0,6,83,88,83,,
STEESE,1,18_1,1,15,15,14,14,2004
STEESE,1,20_1,1,13,13,12,12,2006
STEESE,1,28_1,1,15,15,14,14,2004
STEESE,1,29_1,2,8,10,14,14,2004
STEESE,1,33_1,1,15,15,14,14,2004
STEESE,1,36_1,1,13,13,12,12,2006
STEESE,1,5_1,1,15,15,12,12,2006
STEESE,2,19_2,1,66,66,14,14,2004
STEESE,2,26_2,2,8.5,9,14,14,2004
STEESE,2,27_2,1,66,66,14,14,2004
STEESE,2,3_2,4,10,12,14,14,2004
STEESE,2,34_2,1,62,62,14,14,2004
STEESE,2,4_2,1,NA,NA,14,14,2004
STEESE,3,17_3,1,62,62,14,14,2004
STEESE,3,2_3,3,8,9,14,14,2004
STEESE,3,22_3,1,62,62,14,14,2004
STEESE,3,23_3,4,9,11,14,14,2004
STEESE,3,24_3,3,12,15,14,14,2004
STEESE,3,25_3,3,12,13,14,14,2004
STEESE,3,35_3,2,12.5,14,14,14,2004
