"SAMPLE","PLOT","TREAT","CORNER","VIAL","ORG_MIN","COARSE_FINE","DIVID","VIAL_WEIGHT","BAG","NOTES","DRY_WEIGHT_BAG","DUP","SITE","DEPTH_CM","DEPTH","DRY_WEIGHT"
"1_0C_O","1_0",0,"C","949","O","","N",10.77,NA,"",20.03,"","STEESE",22,"FULL",30.8
"1_0C_MC","1_0",0,"C","967","M","C","N",14.49,NA,"",203.07,"","STEESE",15,"FULL",217.56
"1_0C_MF","1_0",0,"C","968","M","F","N",20.14,NA,"",49.47,"","STEESE",15,"FULL",69.61
"1_0NE_O","1_0",0,"NE","961","O","","N",31.49,NA,"",5.07,"","STEESE",22,"FULL",36.56
"1_0NW_O","1_0",0,"NW","954","O","","N",4.55,NA,"",6.12,"","STEESE",21,"FULL",10.67
"1_0NW_MC","1_0",0,"NW","977","M","C","N",16.15,NA,"",10.35,"","STEESE",15,"FULL",26.5
"1_0NW_MF","1_0",0,"NW","978","M","F","N",19.33,NA,"",14.7,"","STEESE",15,"FULL",34.03
"1_0SE_O","1_0",0,"SE","948","O","","N",14.11,NA,"",45.02,"","STEESE",16,"FULL",59.13
"1_0SE_MC","1_0",0,"SE","973","M","C","N",42.05,NA,"",214.6,"","STEESE",15,"FULL",256.65
"1_0SE_MF","1_0",0,"SE","974","M","F","N",23.97,NA,"",144.73,"","STEESE",15,"FULL",168.7
"1_0SW_O","1_0",0,"SW","962","O","","N",4.24,NA,"",22.64,"","STEESE",21.5,"FULL",26.88
"1_0SW_MC","1_0",0,"SW","952","M","C","N",16.88,NA,"",142.6733333,"","STEESE",15,"FULL",159.5533333
"1_0SW_MF","1_0",0,"SW","969","M","F","N",21.37,NA,"",27.04,"","STEESE",15,"FULL",48.41
"10_0C_O","10_0",0,"C","788","O","","Y",3.94,59,"",13.68,"","DALTON",18,"FULL",17.62
"10_0C_MC","10_0",0,"C","612","M","C","Y",10.15,66,"",0,"","DALTON",5,"10_15",10.15
"10_0C_MC","10_0",0,"C","735","M","C","Y",3.96,84,"",0,"","DALTON",5,"5_10",3.96
"10_0C_MC","10_0",0,"C","768","M","C","Y",13.98,80,"",39,"","DALTON",5,"0_5",52.98
"10_0C_MF","10_0",0,"C","261","M","F","Y",9.1,66,"",80.07,"","DALTON",5,"10_15",89.17
"10_0C_MF","10_0",0,"C","28","M","F","Y",9.17,84,"",11.67,"","DALTON",5,"5_10",20.84
"10_0C_MF","10_0",0,"C","769","M","F","Y",19.12,80,"",50.38,"","DALTON",5,"0_5",69.5
"10_0NE_O","10_0",0,"NE","508","O","","Y",5.97,108,"",18.88,"","DALTON",23,"FULL",24.85
"10_0NE_MC","10_0",0,"NE","764","M","C","Y",1.9,104,"",0,"","DALTON",5,"0_5",1.9
"10_0NE_MC","10_0",0,"NE","770","M","C","Y",12.2,161,"",13.05,"","DALTON",5,"10_15",25.25
"10_0NE_MC","10_0",0,"NE","929","M","C","Y",21.37,72,"",34.01,"DUP","DALTON",5,"5_10",55.38
"10_0NE_MC","10_0",0,"NE","931","M","C","Y",21.12,72,"",34.01,"DUP","DALTON",5,"5_10",55.13
"10_0NE_MF","10_0",0,"NE","151","M","F","Y",9.06,NA,"",109.33,"","DALTON",5,"0_5",118.39
"10_0NE_MF","10_0",0,"NE","771","M","F","Y",14.83,161,"",95.51,"","DALTON",5,"10_15",110.34
"10_0NE_MF","10_0",0,"NE","994","M","F","Y",21,72,"",29.76,"","DALTON",5,"5_10",50.76
"10_0NW_O","10_0",0,"NW","871","O","","Y",3.34,50,"",16.15,"","DALTON",23,"FULL",19.49
"10_0NW_MC","10_0",0,"NW","523","M","C","Y",0.59,145,"",0,"","DALTON",5,"10_15",0.59
"10_0NW_MC","10_0",0,"NW","737","M","C","Y",3.92,97,"",0,"","DALTON",5,"5_10",3.92
"10_0NW_MC","10_0",0,"NW","757","M","C","Y",1.35,141,"",0,"","DALTON",5,"0_5",1.35
"10_0NW_MF","10_0",0,"NW","20","M","F","Y",9.36,NA,"",110.32,"","DALTON",5,"10_15",119.68
"10_0NW_MF","10_0",0,"NW","283","M","F","Y",10.41,97,"",111.65,"","DALTON",5,"5_10",122.06
"10_0NW_MF","10_0",0,"NW","47","M","F","Y",11.08,NA,"",92.91,"","DALTON",5,"0_5",103.99
"10_0SE_O","10_0",0,"SE","580","O","","Y",3.42,35,"",10.44,"","DALTON",19,"FULL",13.86
"10_0SE_MC","10_0",0,"SE","926","M","C","Y",17.21,44,"",4.1,"","DALTON",5,"10_15",21.31
"10_0SE_MC","10_0",0,"SE","938","M","C","Y",17.9,51,"",15.28,"","DALTON",5,"5_10",33.18
"10_0SE_MC","10_0",0,"SE","943","M","C","Y",6.75,100,"",0,"","DALTON",5,"0_5",6.75
"10_0SE_MF","10_0",0,"SE","917","M","F","Y",24.83,44,"",48.33,"","DALTON",5,"10_15",73.16
"10_0SE_MF","10_0",0,"SE","940","M","F","Y",18.38,51,"",47.24,"","DALTON",5,"5_10",65.62
"10_0SE_MF","10_0",0,"SE","944","M","F","Y",16.75,100,"",32.18,"","DALTON",5,"0_5",48.93
"10_0SW_O","10_0",0,"SW","513","O","","Y",5.67,55,"",21.48,"","DALTON",17,"FULL",27.15
"10_0SW_MC","10_0",0,"SW","536","M","C","Y",20.27,33,"",2.61,"","DALTON",5,"10_15",22.88
"10_0SW_MC","10_0",0,"SW","592","M","C","Y",18.72,57,"",0,"","DALTON",5,"0_5",18.72
"10_0SW_MC","10_0",0,"SW","837","M","C","Y",18.57,NA,"",31.33,"","DALTON",5,"5_10",49.9
"10_0SW_MF","10_0",0,"SW","195","M","F","Y",9.81,37,"",91.39,"","DALTON",5,"0_5",101.2
"10_0SW_MF","10_0",0,"SW","295","M","F","Y",14.97,33,"",87.53,"","DALTON",5,"10_15",102.5
