VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
1,20_1C_MF,,20_1,1,C,M,F,FULL,N,NA,2.77,
2,22_3SW_MF,,22_3,3,SW,M,F,FULL,N,NA,0.3,
3,55_3C_MF,,55_3,3,C,M,F,FULL,N,NA,0.72,
4,65_1NE_MF,,65_1,1,NE,M,F,5_10,Y,NA,3.98,
5,58_0C_MF,,58_0,0,C,M,F,0_5,Y,NA,0,
6,64_1SE_MF,,64_1,1,SE,M,F,5_10,Y,NA,2.29,
7,65_1C_MF,,65_1,1,C,M,F,5_10,Y,NA,3.24,
8,64_1NW_MF,,64_1,1,NW,M,F,0_5,Y,NA,3.43,
9,65_1SE_MF,,65_1,1,SE,M,F,0_5,Y,NA,0.53,
10,64_1NW_MF,,64_1,1,NW,M,F,5_10,Y,NA,7.88,
11,52_1C_MF,,52_1,1,C,M,F,5_10,Y,NA,1.9,
12,54_3SW_MF,,54_3,3,SW,M,F,FULL,N,NA,2.06,
13,52_1NE_MF,,52_1,1,NE,M,F,0_5,Y,NA,4.84,
14,52_1NW_MF,,52_1,1,NW,M,F,5_10,Y,NA,1.66,
15,47_2NE_MF,,47_2,2,NE,M,F,0_5,Y,NA,1.81,
16,19_2SE_MF,,19_2,2,SE,M,F,FULL,N,NA,12.27,
17,52_1SW_MF,,52_1,1,SW,M,F,10_15,Y,NA,12.19,
18,65_1NW_MF,DALTON,65_1,1,NW,M,F,5_10,Y,NA,6.62,
19,64_1SE_MF,DALTON,64_1,1,SE,M,F,0_5,Y,NA,7.37,
20,10_0NW_MF,,10_0,0,NW,M,F,10_15,Y,NA,9.36,
21,18_1NE_MF,,18_1,1,NE,M,F,FULL,N,NA,10.9,
22,28_1SE_MF,,28_1,1,SE,M,F,FULL,Y,NA,12.37,
23,25_3C_MF,,25_3,3,C,M,F,FULL,N,NA,9.98,
24,50_1NW_MF,,50_1,1,NW,M,F,10_15,Y,NA,8.06,
25,16_2NW_MF,,16_2,2,NW,M,F,FULL,N,NA,10.19,
26,22_3C_MF,,22_3,3,C,M,F,FULL,N,NA,9.54,
27,35_3C_MF,,35_3,3,C,M,F,FULL,N,NA,10.04,
28,10_0C_MF,,10_0,0,C,M,F,5_10,Y,NA,9.17,
29,16_2SW_MF,,16_2,2,SW,M,F,FULL,N,NA,8.92,
30,17_3C_MF,,17_3,3,C,M,F,FULL,N,NA,10.11,
31,52_1SW_MF,,52_1,1,SW,M,F,5_10,Y,NA,7.94,
32,14_3SW_MF,,14_3,3,SW,M,F,FULL,N,NA,11.16,
33,52_1SW_MF,,52_1,1,SW,M,F,0_5,Y,NA,10,
34,11_0NE_MF,,11_0,0,NE,M,F,10_15,Y,NA,7.37,
35,4_2NE_MF,,4_2,2,NE,M,F,FULL,N,NA,5.89,
36,34_2SE_MF,,34_2,2,SE,M,F,FULL,N,NA,11.71,
37,17_3NW_MF,,17_3,3,NW,M,F,FULL,N,NA,8.8,
38,4_2SE_MF,,4_2,2,SE,M,F,FULL,N,NA,8.53,
39,5_1SE_MF,,5_1,1,SE,M,F,FULL,N,NA,10.65,
40,55_3SE_MF,,55_3,3,SE,M,F,FULL,N,NA,7.5,
41,12_1C_MF,,12_1,1,C,M,F,10_15,Y,NA,8.55,
42,17_3NE_MF,,17_3,3,NE,M,F,FULL,N,NA,10.9,
43,58_0SE_MF,,58_0,0,SE,M,F,10_15,Y,NA,11.29,
44,36_1NW_MF,,36_1,1,NW,M,F,FULL,N,NA,9.63,
45,19_2SW_MF,,19_2,2,SW,M,F,FULL,N,NA,7.24,
46,50_1NE_MF,,50_1,1,NE,M,F,10_15,Y,NA,8.78,
47,10_0NW_MF,,10_0,0,NW,M,F,0_5,Y,NA,11.08,
48,58_0NE_MF,,58_0,0,NE,M,F,0_5,Y,NA,11.09,
49,39_2NW_MF,,39_2,2,NW,M,F,FULL,N,NA,11.98,
50,58_0NW_MF,,58_0,0,NW,M,F,5_10,Y,NA,12.21,
51,42_1SW_MF,,42_1,1,SW,M,F,FULL,N,NA,12.08,
52,15_3NW_MF,,15_3,3,NW,M,F,10_15,Y,NA,11.61,
53,15_3C_MF,,15_3,3,C,M,F,10_15,Y,NA,12.39,
54,56_2SE_MF,,56_2,2,SE,M,F,0_5,Y,NA,10.67,
55,57_2NE_MF,,57_2,2,NE,M,F,0_5,Y,NA,11.74,
56,58_0C_MF,,58_0,0,C,M,F,5_10,Y,NA,7.95,
57,22_3NW_MF,,22_3,3,NW,M,F,FULL,N,NA,10.91,
58,57_2C_MF,,57_2,2,C,M,F,0_5,Y,NA,7.57,
59,34_2SW_MF,,34_2,2,SW,M,F,FULL,N,NA,14,
60,28_1NW_MF,,28_1,1,NW,M,F,FULL,N,NA,11.6,
61,57_2NW_MF,,57_2,2,NW,M,F,10_15,Y,NA,9.89,
62,57_2NW_MF,,57_2,2,NW,M,F,5_10,Y,NA,11.93,
63,37_3NE_MF,,37_3,3,NE,M,F,5_10,Y,NA,9.88,
64,15_3SE_MF,,15_3,3,SE,M,F,10_15,Y,NA,12.16,
65,20_1SW_MF,,20_1,1,SW,M,F,FULL,N,NA,11.4,
66,15_3NE_MF,,15_3,3,NE,M,F,5_10,Y,NA,11.04,
67,27_2NE_MF,,27_2,2,NE,M,F,FULL,N,NA,10.61,
68,11_0NW_MF,,11_0,0,NW,M,F,0_5,Y,NA,7.52,
69,7_3NE_MF,,7_3,3,NE,M,F,FULL,N,NA,11.13,
70,36_1C_MF,,36_1,1,C,M,F,FULL,N,NA,13.87,
71,23_3NW_MF,,23_3,3,NW,M,F,FULL,N,NA,11.75,
72,16_2SE_MF,,16_2,2,SE,M,F,FULL,N,NA,10.57,
73,57_2C_MF,,57_2,2,C,M,F,5_10,Y,NA,12.6,
74,57_2NW_MF,,57_2,2,NW,M,F,0_5,Y,NA,9.87,
75,57_2NE_MF,,57_2,2,NE,M,F,5_10,Y,NA,11.98,
76,57_2SE_MF,,57_2,2,SE,M,F,0_5,Y,NA,9.76,
77,32_2SE_MF,,32_2,2,SE,M,F,0_5,Y,NA,4.91,
78,57_2NE_MF,,57_2,2,NE,M,F,10_15,Y,NA,11.05,
79,56_2SW_MF,,56_2,2,SW,M,F,0_5,Y,NA,10.69,
80,32_2C_MF,,32_2,2,C,M,F,0_5,Y,NA,8.13,
81,56_2SW_MF,,56_2,2,SW,M,F,5_10,Y,NA,10.4,
82,32_2NW_MF,DALTON,32_2,2,NW,M,F,10_15,Y,NA,10.71,
83,32_2NW_MF,DALTON,32_2,2,NW,M,F,0_5,Y,NA,11.04,
84,32_2SW_MF,DALTON,32_2,2,SW,M,F,0_5,Y,NA,8.62,
85,32_2NW_MF,DALTON,32_2,2,NW,M,F,5_10,Y,NA,10.71,
86,47_2C_MF,,47_2,2,C,M,F,0_5,Y,NA,5.92,
87,47_2NE_MF,,47_2,2,NE,M,F,5_10,Y,NA,11.35,
88,65_1NE_MF,,65_1,1,NE,M,F,10_15,Y,NA,11.46,
89,47_2C_MF,,47_2,2,C,M,F,10_15,Y,NA,8.93,
90,56_2NE_MF,DALTON,56_2,2,NE,M,F,0_5,Y,NA,7.66,
91,47_2NW_MF,,47_2,2,NW,M,F,5_10,Y,33,12.46,NO COARSE
92,56_2NW_MF,DALTON,56_2,2,NW,M,F,10_15,Y,NA,10.95,
93,56_2NW_MF,DALTON,56_2,2,NW,M,F,0_5,Y,NA,7.2,
94,47_2C_MF,,47_2,2,C,M,F,5_10,Y,NA,4.51,
95,56_2C_MF,DALTON,56_2,2,C,M,F,0_5,Y,NA,9.43,
96,56_2SW_MF,DALTON,56_2,2,SW,M,F,10_15,Y,NA,9.67,
97,56_2NW_MF,DALTON,56_2,2,NW,M,F,5_10,Y,NA,7.42,
98,39_2NW_MF,DALTON,39_2,2,NW,M,F,0_5,Y,NA,7.97,
99,39_2C_MF,DALTON,39_2,2,C,M,F,0_5,Y,NA,9.88,
100,37_3SW_MF,DALTON,37_3,3,SW,M,F,5_10,Y,NA,10.45,
101,15_3SE_MF,DALTON,15_3,3,SE,M,F,0_5,Y,NA,5.8,
102,37_3NW_MF,DALTON,37_3,3,NW,M,F,10_15,Y,NA,9.12,
103,37_3SE_MF,DALTON,37_3,3,SE,M,F,0_5,Y,NA,9.5,
104,15_3NE_MF,DALTON,15_3,3,NE,M,F,0_5,Y,NA,7.84,
105,15_3NW_MF,DALTON,15_3,3,NW,M,F,0_5,Y,NA,7.6,
106,32_2SW_MF,DALTON,32_2,2,SW,M,F,5_10,Y,NA,15.54,
107,32_2SE_MF,DALTON,32_2,2,SE,M,F,5_10,Y,NA,11.12,
108,37_3NW_MF,DALTON,37_3,3,NW,M,F,0_5,Y,NA,9.2,
109,32_2SE_MF,DALTON,32_2,2,SE,M,F,10_15,Y,NA,13.38,
110,32_2SW_MF,DALTON,32_2,2,SW,M,F,10_15,Y,NA,13.06,
111,32_2C_MF,DALTON,32_2,2,C,M,F,5_10,Y,NA,10.37,
112,15_3SE_MF,DALTON,15_3,3,SW,M,F,0_5,Y,NA,6.17,
113,15_3C_MF,DALTON,15_3,3,C,M,F,0_5,Y,NA,7.12,
114,32_2C_MF,DALTON,32_2,2,C,M,F,10_15,Y,NA,13.57,
115,32_2NE_MF,DALTON,32_2,2,NE,M,F,0_5,Y,NA,7.84,
116,32_3NE_MF,DALTON,32_2,2,NE,M,F,5_10,Y,NA,10.59,
117,37_3SW_MF,DALTON,37_3,3,SW,M,F,0_5,Y,NA,7.65,
118,57_2SW_MF,DALTON,57_2,2,SW,M,F,10_15,Y,NA,11.05,
119,33_1SW_MF,STEESE,33_1,1,SW,M,F,FULL,N,NA,10.93,
120,64_1SW_MF,DALTON,64_1,1,SW,M,F,5_10,Y,NA,13.57,
121,11_0SW_MF,DALTON,11_0,0,SW,M,F,10_15,Y,NA,10.34,NO COARSE
122,52_1NE_MF,DALTON,52_1,1,NE,M,F,10_15,Y,NA,13.91,
123,64_1C_MF,DALTON,64_1,1,C,M,F,5_10,Y,NA,10.82,
124,64_1NE_MF,DALTON,64_1,1,NE,M,F,10_15,Y,NA,13.43,
125,12_1NE_MF,DALTON,12_1,1,NE,M,F,0_5,Y,NA,6.15,
126,29_1SE_MF,STEESE,29_1,1,SE,M,F,FULL,N,NA,11.67,
127,54_3SE_MF,DALTON,54_3,3,SE,M,F,FULL,N,NA,14.05,
128,65_1SW_MF,DALTON,65_1,1,SW,M,F,5_10,Y,NA,10.88,
129,56_2NE_MF,DALTON,56_2,2,NE,M,F,5_10,Y,NA,8.46,
130,37_3SW_MF,DALTON,37_3,3,SW,M,F,10_15,Y,NA,10.38,
131,37_3_NE_MF,DALTON,37_3,3,NE,M,F,0_5,Y,NA,8.96,
132,8_2C_MF,DALTON,8_2,2,C,M,F,FULL,N,NA,8.9,
133,37_3_SE_MF,DALTON,37_3,3,SE,M,F,10_15,Y,NA,12.32,
134,11_0NE_MF,DALTON,11_0,0,NE,M,F,5_10,Y,NA,9.75,NO COARSE
135,37_3NW_MF,DALTON,37_3,3,NW,M,F,5_10,Y,NA,10.17,
136,37_3C_MF,DALTON,37_3,3,C,M,F,5_10,Y,NA,11.2,
137,37_3SE_MF,DALTON,37_3,3,SE,M,F,0_5,Y,NA,11.37,
138,25_3_SW_MF,STEESE,25_3,3,SW,M,F,FULL,N,NA,12.21,
139,4_2_SW_MF,STEESE,4_2,2,SW,M,F,FULL,N,NA,12.39,
140,17_3SW_MF,STEESE,17_3,3,SW,M,F,FULL,N,NA,13.52,
141,12_1C_MF,,12_1,1,C,M,F,0_5,Y,NA,3.14,
142,20_1SE_MF,,20_1,1,SE,M,F,FULL,N,NA,11.78,
143,22_3NE_MF,,22_3,3,NE,M,F,FULL,N,NA,7.93,
144,5_1NE_MF,,5_1,1,NE,M,F,FULL,N,NA,10.48,
145,44_0SE_MF,,44_0,0,SE,M,F,FULL,N,NA,13.63,
146,54_3NW_MF,,54_3,3,NW,M,F,FULL,N,NA,12.16,
147,19_2NE_MF,,19_2,2,NE,M,F,FULL,N,NA,9.73,
148,47_2SE_MF,,47_2,2,SE,M,F,5_10,Y,NA,6.77,
149,47_2SE_MF,,47_2,2,SE,M,F,0_5,Y,NA,4.95,
